team,player_id,period,player,game_home,game_away,date,shots,goals,assists,points,blocks,saves,toi_sec
Los Angeles Kings,5588950,3,Corey Perry,Carolina Hurricanes,Los Angeles Kings,2026-02-01,3.3542,0.3244,0.1488,0.4732,0.0,0.0,453.1781
Los Angeles Kings,5588950,4,Corey Perry,Carolina Hurricanes,Los Angeles Kings,2026-02-01,0.1698,0.0174,0.0,0.0174,0.0,0.0,16.123725
Los Angeles Kings,8083869,1,Andrei Kuzmenko,Carolina Hurricanes,Los Angeles Kings,2026-02-01,0.0,0.0,0.2252,0.2252,0.0,0.0,60.0
Los Angeles Kings,8083869,2,Andrei Kuzmenko,Carolina Hurricanes,Los Angeles Kings,2026-02-01,0.0,0.0,0.2396,0.2396,0.0,0.0,60.0
Los Angeles Kings,8083869,3,Andrei Kuzmenko,Carolina Hurricanes,Los Angeles Kings,2026-02-01,0.0,0.0,0.2262,0.2262,0.0,0.0,60.0
Los Angeles Kings,8083869,4,Andrei Kuzmenko,Carolina Hurricanes,Los Angeles Kings,2026-02-01,0.1098,0.0118,0.0,0.0118,0.0,0.0,4.426425
Los Angeles Kings,8315917,1,Quinton Byfield,Carolina Hurricanes,Los Angeles Kings,2026-02-01,0.0,0.0,0.239,0.239,0.0,0.0,60.0
Los Angeles Kings,8315917,2,Quinton Byfield,Carolina Hurricanes,Los Angeles Kings,2026-02-01,0.0,0.0,0.229,0.229,0.0,0.0,60.0
Los Angeles Kings,8315917,3,Quinton Byfield,Carolina Hurricanes,Los Angeles Kings,2026-02-01,0.0,0.0,0.2216,0.2216,0.0,0.0,60.0
Los Angeles Kings,8315917,4,Quinton Byfield,Carolina Hurricanes,Los Angeles Kings,2026-02-01,0.0078,0.0008,0.0,0.0008,0.0,0.0,0.7416
Carolina Hurricanes,1611346,0,Sebastian Aho,Carolina Hurricanes,Los Angeles Kings,2026-02-01,10.483,1.0236,0.7116,1.7351999999999999,0.0,0.0,1361.4089
Carolina Hurricanes,3839006,0,Andrei Svechnikov,Carolina Hurricanes,Los Angeles Kings,2026-02-01,0.0956,0.007,1.0488,1.0558,0.0,0.0,188.459775
Carolina Hurricanes,4012762,0,Nikolaj Ehlers,Carolina Hurricanes,Los Angeles Kings,2026-02-01,10.5952,1.041,0.6978,1.7388000000000001,0.0,0.0,1370.960375
Carolina Hurricanes,4894135,0,Seth Jarvis,Carolina Hurricanes,Los Angeles Kings,2026-02-01,0.0974,0.0076,1.0356,1.0432000000000001,0.0,0.0,188.459775
Carolina Hurricanes,8302210,0,Taylor Hall,Carolina Hurricanes,Los Angeles Kings,2026-02-01,10.5198,1.0536,0.6732,1.7268000000000001,0.0,0.0,1370.960375
Los Angeles Kings,2944409,0,Trevor Moore,Carolina Hurricanes,Los Angeles Kings,2026-02-01,0.01,0.0008,0.7104,0.7112,0.0,0.0,180.7416
Los Angeles Kings,3730037,0,Kevin Fiala,Carolina Hurricanes,Los Angeles Kings,2026-02-01,10.3552,1.0508,0.45999999999999996,1.5108000000000001,0.0,0.0,1374.568125
Los Angeles Kings,4056252,0,Adrian Kempe,Carolina Hurricanes,Los Angeles Kings,2026-02-01,10.1832,1.0276,0.4738,1.5014,0.0,0.0,1361.7249
Los Angeles Kings,5487590,0,Alex Laferriere,Carolina Hurricanes,Los Angeles Kings,2026-02-01,0.0,0.0,0.698,0.698,0.0,0.0,180.0
Los Angeles Kings,5588950,0,Corey Perry,Carolina Hurricanes,Los Angeles Kings,2026-02-01,10.2756,1.0548,0.469,1.5238,0.0,0.0,1374.568125
Los Angeles Kings,8083869,0,Andrei Kuzmenko,Carolina Hurricanes,Los Angeles Kings,2026-02-01,0.1098,0.0118,0.6910000000000001,0.7028,0.0,0.0,184.426425
Los Angeles Kings,8315917,0,Quinton Byfield,Carolina Hurricanes,Los Angeles Kings,2026-02-01,0.0078,0.0008,0.6896,0.6904,0.0,0.0,180.7416
Boston Bruins,8476374,1,Sean Kuraly,Tampa Bay Lightning,Boston Bruins,2026-02-01,0.0,0.0,0.0668,0.0668,0.0,0.0,60.0
Boston Bruins,8476374,2,Sean Kuraly,Tampa Bay Lightning,Boston Bruins,2026-02-01,0.0,0.0,0.0764,0.0764,0.0,0.0,60.0
Boston Bruins,8476374,3,Sean Kuraly,Tampa Bay Lightning,Boston Bruins,2026-02-01,0.0,0.0,0.0754,0.0754,0.0,0.0,60.0
Boston Bruins,8476374,4,Sean Kuraly,Tampa Bay Lightning,Boston Bruins,2026-02-01,0.0394,0.004,0.0,0.004,0.0,0.0,4.181625
Boston Bruins,8476854,1,Hampus Lindholm,Tampa Bay Lightning,Boston Bruins,2026-02-01,0.0,0.0,0.0668,0.0668,0.4238,0.0,60.0
Boston Bruins,8476854,2,Hampus Lindholm,Tampa Bay Lightning,Boston Bruins,2026-02-01,0.0,0.0,0.0714,0.0714,0.4572,0.0,60.0
Boston Bruins,8476854,3,Hampus Lindholm,Tampa Bay Lightning,Boston Bruins,2026-02-01,0.0,0.0,0.0696,0.0696,0.451,0.0,60.0
Boston Bruins,8476854,4,Hampus Lindholm,Tampa Bay Lightning,Boston Bruins,2026-02-01,0.0,0.0,0.0,0.0,0.0036,0.0,60.0
Boston Bruins,8476914,1,Joonas Korpisalo,Tampa Bay Lightning,Boston Bruins,2026-02-01,0.0,0.0,0.0,0.0,0.0,9.2192,1200.0
Boston Bruins,8476914,2,Joonas Korpisalo,Tampa Bay Lightning,Boston Bruins,2026-02-01,0.0,0.0,0.0,0.0,0.0,9.6508,1200.0
Boston Bruins,8476914,3,Joonas Korpisalo,Tampa Bay Lightning,Boston Bruins,2026-02-01,0.0,0.0,0.0,0.0,0.0,9.4146,1200.0
Boston Bruins,8476914,4,Joonas Korpisalo,Tampa Bay Lightning,Boston Bruins,2026-02-01,0.0,0.0,0.0,0.0,0.0,0.4216,55.14
Boston Bruins,8477496,1,Elias Lindholm,Tampa Bay Lightning,Boston Bruins,2026-02-01,0.0,0.0,0.0734,0.0734,0.0,0.0,60.0
Boston Bruins,8477496,2,Elias Lindholm,Tampa Bay Lightning,Boston Bruins,2026-02-01,0.0,0.0,0.0738,0.0738,0.0,0.0,60.0
Boston Bruins,8477496,3,Elias Lindholm,Tampa Bay Lightning,Boston Bruins,2026-02-01,0.0,0.0,0.076,0.076,0.0,0.0,60.0
Boston Bruins,8477496,4,Elias Lindholm,Tampa Bay Lightning,Boston Bruins,2026-02-01,0.0406,0.0044,0.0,0.0044,0.0,0.0,4.181625
Boston Bruins,8477507,1,Nikita Zadorov,Tampa Bay Lightning,Boston Bruins,2026-02-01,0.0,0.0,0.0668,0.0668,0.0,0.0,60.0
Boston Bruins,8477507,2,Nikita Zadorov,Tampa Bay Lightning,Boston Bruins,2026-02-01,0.0,0.0,0.0692,0.0692,0.0,0.0,60.0
Boston Bruins,8477507,3,Nikita Zadorov,Tampa Bay Lightning,Boston Bruins,2026-02-01,0.0,0.0,0.0738,0.0738,0.0,0.0,60.0
Boston Bruins,8477956,1,David Pastrnak,Tampa Bay Lightning,Boston Bruins,2026-02-01,0.0,0.0,0.0686,0.0686,0.0,0.0,60.0
Boston Bruins,8477956,2,David Pastrnak,Tampa Bay Lightning,Boston Bruins,2026-02-01,0.0,0.0,0.0706,0.0706,0.0,0.0,60.0
Boston Bruins,8477956,3,David Pastrnak,Tampa Bay Lightning,Boston Bruins,2026-02-01,0.0,0.0,0.0728,0.0728,0.0,0.0,60.0
Boston Bruins,8477956,4,David Pastrnak,Tampa Bay Lightning,Boston Bruins,2026-02-01,0.0402,0.003,0.0,0.003,0.0,0.0,4.401
Boston Bruins,8478042,1,Viktor Arvidsson,Tampa Bay Lightning,Boston Bruins,2026-02-01,1.247,0.1174,0.0608,0.1782,0.0,0.0,226.2698
Boston Bruins,8478042,2,Viktor Arvidsson,Tampa Bay Lightning,Boston Bruins,2026-02-01,1.3184,0.1368,0.065,0.2018,0.0,0.0,226.3982
Boston Bruins,8478042,3,Viktor Arvidsson,Tampa Bay Lightning,Boston Bruins,2026-02-01,1.2482,0.1354,0.064,0.1994,0.0,0.0,226.1605
Boston Bruins,8478042,4,Viktor Arvidsson,Tampa Bay Lightning,Boston Bruins,2026-02-01,0.0554,0.0056,0.0,0.0056,0.0,0.0,7.001325
Boston Bruins,8478401,1,Pavel Zacha,Tampa Bay Lightning,Boston Bruins,2026-02-01,0.0,0.0,0.0656,0.0656,0.0,0.0,60.0
Boston Bruins,8478401,2,Pavel Zacha,Tampa Bay Lightning,Boston Bruins,2026-02-01,0.0,0.0,0.0794,0.0794,0.0,0.0,60.0
Boston Bruins,8478401,3,Pavel Zacha,Tampa Bay Lightning,Boston Bruins,2026-02-01,0.0,0.0,0.0726,0.0726,0.0,0.0,60.0
Boston Bruins,8479325,1,Charlie McAvoy,Tampa Bay Lightning,Boston Bruins,2026-02-01,0.0,0.0,0.0614,0.0614,0.0,0.0,60.0
Boston Bruins,8479325,2,Charlie McAvoy,Tampa Bay Lightning,Boston Bruins,2026-02-01,0.0,0.0,0.0712,0.0712,0.0,0.0,60.0
Boston Bruins,8479325,3,Charlie McAvoy,Tampa Bay Lightning,Boston Bruins,2026-02-01,0.0,0.0,0.0652,0.0652,0.0,0.0,60.0
Boston Bruins,8479369,1,Andrew Peeke,Tampa Bay Lightning,Boston Bruins,2026-02-01,0.0,0.0,0.0682,0.0682,0.0,0.0,60.0
Boston Bruins,8479369,2,Andrew Peeke,Tampa Bay Lightning,Boston Bruins,2026-02-01,0.0,0.0,0.0746,0.0746,0.0,0.0,60.0
Boston Bruins,8479369,3,Andrew Peeke,Tampa Bay Lightning,Boston Bruins,2026-02-01,0.0,0.0,0.0766,0.0766,0.0,0.0,60.0
Boston Bruins,8479591,1,Michael Eyssimont,Tampa Bay Lightning,Boston Bruins,2026-02-01,1.2312,0.116,0.0664,0.1824,0.0,0.0,226.2698
Boston Bruins,8479591,2,Michael Eyssimont,Tampa Bay Lightning,Boston Bruins,2026-02-01,1.3138,0.1278,0.0686,0.1964,0.0,0.0,226.3982
Boston Bruins,8479591,3,Michael Eyssimont,Tampa Bay Lightning,Boston Bruins,2026-02-01,1.239,0.1228,0.0578,0.1806,0.0,0.0,226.1605
Boston Bruins,8479591,4,Michael Eyssimont,Tampa Bay Lightning,Boston Bruins,2026-02-01,0.0538,0.0036,0.0,0.0036,0.0,0.0,7.001325
Boston Bruins,8479661,1,Tanner Jeannot,Tampa Bay Lightning,Boston Bruins,2026-02-01,1.2478,0.1324,0.0558,0.18819999999999998,0.0,0.0,226.7974
Boston Bruins,8479661,2,Tanner Jeannot,Tampa Bay Lightning,Boston Bruins,2026-02-01,1.317,0.141,0.0626,0.2036,0.0,0.0,226.5496
Boston Bruins,8479661,3,Tanner Jeannot,Tampa Bay Lightning,Boston Bruins,2026-02-01,1.2724,0.1342,0.061,0.1952,0.0,0.0,226.2635
Boston Bruins,8479661,4,Tanner Jeannot,Tampa Bay Lightning,Boston Bruins,2026-02-01,0.0418,0.0034,0.0,0.0034,0.0,0.0,5.558625
Boston Bruins,8479987,1,Morgan Geekie,Tampa Bay Lightning,Boston Bruins,2026-02-01,1.2342,0.1192,0.0614,0.1806,0.0,0.0,226.2698
Boston Bruins,8479987,2,Morgan Geekie,Tampa Bay Lightning,Boston Bruins,2026-02-01,1.3028,0.1402,0.0594,0.1996,0.0,0.0,226.3982
Boston Bruins,8479987,3,Morgan Geekie,Tampa Bay Lightning,Boston Bruins,2026-02-01,1.2418,0.1292,0.0642,0.19340000000000002,0.0,0.0,226.1605
Boston Bruins,8479987,4,Morgan Geekie,Tampa Bay Lightning,Boston Bruins,2026-02-01,0.005,0.0004,0.0,0.0004,0.0,0.0,1.764
