team,player_id,player,market,value,count,n_sims,game_home,game_away,date,period
Winnipeg Jets,8476460,,SOG,1.0,1378,6000,Winnipeg Jets,St. Louis Blues,2026-03-15,0
Winnipeg Jets,8476460,,GOALS,0.0,4472,6000,Winnipeg Jets,St. Louis Blues,2026-03-15,0
Winnipeg Jets,8476460,,ASSISTS,0.0,3761,6000,Winnipeg Jets,St. Louis Blues,2026-03-15,0
Winnipeg Jets,8476460,,POINTS,0.0,2812,6000,Winnipeg Jets,St. Louis Blues,2026-03-15,0
Winnipeg Jets,8476460,,BLOCKS,3.0,431,6000,Winnipeg Jets,St. Louis Blues,2026-03-15,0
Winnipeg Jets,8476460,,SAVES,0.0,6000,6000,Winnipeg Jets,St. Louis Blues,2026-03-15,0
Winnipeg Jets,8478398,,SOG,2.0,1246,6000,Winnipeg Jets,St. Louis Blues,2026-03-15,0
Winnipeg Jets,8478398,,GOALS,0.0,4171,6000,Winnipeg Jets,St. Louis Blues,2026-03-15,0
Winnipeg Jets,8478398,,ASSISTS,0.0,3728,6000,Winnipeg Jets,St. Louis Blues,2026-03-15,0
Winnipeg Jets,8478398,,POINTS,0.0,2593,6000,Winnipeg Jets,St. Louis Blues,2026-03-15,0
Winnipeg Jets,8478398,,BLOCKS,1.0,1941,6000,Winnipeg Jets,St. Louis Blues,2026-03-15,0
Winnipeg Jets,8478398,,SAVES,0.0,6000,6000,Winnipeg Jets,St. Louis Blues,2026-03-15,0
Winnipeg Jets,8480014,,SOG,1.0,1614,6000,Winnipeg Jets,St. Louis Blues,2026-03-15,0
Winnipeg Jets,8480014,,GOALS,0.0,3698,6000,Winnipeg Jets,St. Louis Blues,2026-03-15,0
Winnipeg Jets,8480014,,ASSISTS,0.0,4231,6000,Winnipeg Jets,St. Louis Blues,2026-03-15,0
Winnipeg Jets,8480014,,POINTS,0.0,2614,6000,Winnipeg Jets,St. Louis Blues,2026-03-15,0
Winnipeg Jets,8480014,,BLOCKS,1.0,2224,6000,Winnipeg Jets,St. Louis Blues,2026-03-15,0
Winnipeg Jets,8480014,,SAVES,0.0,6000,6000,Winnipeg Jets,St. Louis Blues,2026-03-15,0
Winnipeg Jets,8477504,,SOG,3.0,1261,6000,Winnipeg Jets,St. Louis Blues,2026-03-15,0
Winnipeg Jets,8477504,,GOALS,0.0,5326,6000,Winnipeg Jets,St. Louis Blues,2026-03-15,0
Winnipeg Jets,8477504,,ASSISTS,0.0,3583,6000,Winnipeg Jets,St. Louis Blues,2026-03-15,0
Winnipeg Jets,8477504,,POINTS,0.0,3175,6000,Winnipeg Jets,St. Louis Blues,2026-03-15,0
Winnipeg Jets,8477504,,BLOCKS,2.0,1497,6000,Winnipeg Jets,St. Louis Blues,2026-03-15,0
Winnipeg Jets,8477504,,SAVES,0.0,6000,6000,Winnipeg Jets,St. Louis Blues,2026-03-15,0
Winnipeg Jets,8476331,,SOG,2.0,1564,6000,Winnipeg Jets,St. Louis Blues,2026-03-15,0
Winnipeg Jets,8476331,,GOALS,0.0,5527,6000,Winnipeg Jets,St. Louis Blues,2026-03-15,0
Winnipeg Jets,8476331,,ASSISTS,0.0,3952,6000,Winnipeg Jets,St. Louis Blues,2026-03-15,0
Winnipeg Jets,8476331,,POINTS,0.0,3641,6000,Winnipeg Jets,St. Louis Blues,2026-03-15,0
Winnipeg Jets,8476331,,BLOCKS,0.0,2467,6000,Winnipeg Jets,St. Louis Blues,2026-03-15,0
Winnipeg Jets,8476331,,SAVES,0.0,6000,6000,Winnipeg Jets,St. Louis Blues,2026-03-15,0
St. Louis Blues,8480023,,SOG,2.0,1522,6000,Winnipeg Jets,St. Louis Blues,2026-03-15,0
