gamePk,date,home,away,home_goals_sim,away_goals_sim
2025020682,2026-01-08,Boston Bruins,Calgary Flames,2,4
2025020683,2026-01-08,Montréal Canadiens,Florida Panthers,2,2
2025020684,2026-01-08,Detroit Red Wings,Vancouver Canucks,1,3
2025020685,2026-01-08,New York Rangers,Buffalo Sabres,7,3
2025020686,2026-01-08,Philadelphia Flyers,Toronto Maple Leafs,3,3
2025020687,2026-01-08,Pittsburgh Penguins,New Jersey Devils,5,1
2025020688,2026-01-08,Carolina Hurricanes,Anaheim Ducks,2,3
2025020689,2026-01-08,Nashville Predators,New York Islanders,2,5
2025020690,2026-01-08,Winnipeg Jets,Edmonton Oilers,2,7
2025020691,2026-01-08,Colorado Avalanche,Ottawa Senators,2,2
2025020692,2026-01-08,Vegas Golden Knights,Columbus Blue Jackets,0,2
2025020693,2026-01-08,Seattle Kraken,Minnesota Wild,4,2
