date,home,away,market,ev,date_key,model_total,p_home_ml,p_away_ml,period1_home_proj,period1_away_proj,p_f10_yes,p_f10_no,home_ml_odds,away_ml_odds,over_odds,under_odds,home_pl_-1.5_odds,away_pl_+1.5_odds,p_over,p_under,p_home_pl_-1.5,p_away_pl_+1.5,total_line_used,home_gd10,away_gd10,form_delta,rest_delta,b2b_delta,total_bias,market_group,bet,prob,price,book,totals_line,side,edge_score,edge_reasons
2026-03-06,Dallas Stars,Colorado Avalanche,ev_away_ml,0.026042397660818728,2026-03-06,6.159666666666666,0.4534166666666667,0.5465833333333333,0.9455,1.0341666666666667,0.6633854146179257,0.33661458538207434,-106.0,-114.0,,,,,0.42483333333333334,0.42783333333333334,0.2075,0.7925,6.0,,,,,,0.1596666666666664,moneyline,away_ml,0.5465833333333333,-114.0,,,Colorado Avalanche,0.09316666666666662,p=0.547
2026-03-06,Dallas Stars,Colorado Avalanche,ev_home_ml,-0.11883176100628928,2026-03-06,6.159666666666666,0.4534166666666667,0.5465833333333333,0.9455,1.0341666666666667,0.6633854146179257,0.33661458538207434,-106.0,-114.0,,,,,0.42483333333333334,0.42783333333333334,0.2075,0.7925,6.0,,,,,,0.1596666666666664,moneyline,home_ml,0.4534166666666667,-106.0,,,Dallas Stars,0.09316666666666662,p=0.453
2026-03-06,Edmonton Oilers,Carolina Hurricanes,ev_away_ml,0.032659090909091026,2026-03-06,6.411333333333333,0.45908333333333334,0.5409166666666667,0.975,1.0766666666666667,0.676454869128076,0.32354513087192405,-110.0,-110.0,,,,,0.4658333333333333,0.39966666666666667,0.195,0.8049999999999999,6.0,,,,,,0.41133333333333333,moneyline,away_ml,0.5409166666666667,-110.0,,,Carolina Hurricanes,0.08183333333333342,p=0.541
2026-03-06,Edmonton Oilers,Carolina Hurricanes,ev_home_ml,-0.1235681818181818,2026-03-06,6.411333333333333,0.45908333333333334,0.5409166666666667,0.975,1.0766666666666667,0.676454869128076,0.32354513087192405,-110.0,-110.0,,,,,0.4658333333333333,0.39966666666666667,0.195,0.8049999999999999,6.0,,,,,,0.41133333333333333,moneyline,home_ml,0.45908333333333334,-110.0,,,Edmonton Oilers,0.08183333333333331,p=0.459
2026-03-06,Chicago Blackhawks,Vancouver Canucks,ev_home_ml,-0.1332741935483871,2026-03-06,6.054,0.5268333333333334,0.4731666666666667,0.9895,0.9386666666666666,0.6537144885747768,0.34628551142522324,-155.0,128.0,,,,,0.4085,0.45,0.25466666666666665,0.7453333333333334,6.0,,,,,,0.05400000000000027,moneyline,home_ml,0.5268333333333334,-155.0,,,Chicago Blackhawks,0.05366666666666675,p=0.527
2026-03-06,Chicago Blackhawks,Vancouver Canucks,ev_away_ml,0.07882000000000022,2026-03-06,6.054,0.5268333333333334,0.4731666666666667,0.9895,0.9386666666666666,0.6537144885747768,0.34628551142522324,-155.0,128.0,,,,,0.4085,0.45,0.25466666666666665,0.7453333333333334,6.0,,,,,,0.05400000000000027,moneyline,away_ml,0.4731666666666667,128.0,,,Vancouver Canucks,0.05366666666666664,p=0.473
2026-03-06,Detroit Red Wings,Florida Panthers,ev_away_ml,0.09098000000000006,2026-03-06,6.302,0.5215,0.4785,1.0148333333333333,1.003,0.6703778674035274,0.32962213259647255,-157.0,128.0,,,,,0.45566666666666666,0.4101666666666667,0.25733333333333336,0.7426666666666666,6.0,,,,,,0.3019999999999996,moneyline,away_ml,0.4785,128.0,,,Florida Panthers,0.04300000000000004,p=0.478
2026-03-06,Detroit Red Wings,Florida Panthers,ev_home_ml,-0.1463343949044587,2026-03-06,6.302,0.5215,0.4785,1.0148333333333333,1.003,0.6703778674035274,0.32962213259647255,-157.0,128.0,,,,,0.45566666666666666,0.4101666666666667,0.25733333333333336,0.7426666666666666,6.0,,,,,,0.3019999999999996,moneyline,home_ml,0.5215,-157.0,,,Detroit Red Wings,0.04299999999999993,p=0.521
2026-03-06,Anaheim Ducks,Montréal Canadiens,ev_away_ml,-0.09066592920353977,2026-03-06,6.384333333333333,0.5175833333333333,0.48241666666666666,1.0511666666666666,0.996,0.6756531031530502,0.32434689684694984,-108.0,-113.0,,,,,0.4643333333333333,0.3983333333333333,0.25166666666666665,0.7483333333333333,6.0,,,,,,0.3843333333333332,moneyline,away_ml,0.48241666666666666,-113.0,,,Montréal Canadiens,0.03516666666666668,p=0.482
2026-03-06,Anaheim Ducks,Montréal Canadiens,ev_home_ml,-0.0031728395061728643,2026-03-06,6.384333333333333,0.5175833333333333,0.48241666666666666,1.0511666666666666,0.996,0.6756531031530502,0.32434689684694984,-108.0,-113.0,,,,,0.4643333333333333,0.3983333333333333,0.25166666666666665,0.7483333333333333,6.0,,,,,,0.3843333333333332,moneyline,home_ml,0.5175833333333333,-108.0,,,Anaheim Ducks,0.03516666666666657,p=0.518
