date,player,team,market,line,proj_lambda,p_over,over_price,under_price,book,side,ev,chosen_prob
2026-02-06,Alex Tuch,BUF,ASSISTS,0.5,0.2789,0.220312,140,-190,betmgm,Under,0.1900501052631577,0.7796879999999999
2026-02-06,Bowen Byram,BUF,ASSISTS,0.5,0.2315,0.190625,210,-300,betmgm,Under,0.07916666666666655,0.809375
2026-02-06,Bowen Byram,BUF,POINTS,0.5,0.2175,0.184562,165,-220,betmgm,Under,0.1860916363636364,0.815438
2026-02-06,Jack Quinn,BUF,GOALS,0.5,0.1806,0.154688,270,-400,fanduel,Under,0.05664000000000008,0.8453120000000001
2026-02-06,Jason Zucker,BUF,ASSISTS,0.5,0.3288,0.258875,165,-210,pinnacle,Under,0.0940416666666668,0.741125
2026-02-06,Josh Doan,BUF,ASSISTS,0.5,0.1797,0.152062,175,-235,betmgm,Under,0.20876268085106375,0.847938
2026-02-06,Josh Doan,BUF,GOALS,0.5,0.1754,0.150438,270,-420,fanduel,Under,0.051838666666666755,0.849562
2026-02-06,Josh Doan,BUF,POINTS,0.5,0.3756,0.274687,-111,-119,pinnacle,Under,0.33481972268907567,0.725313
2026-02-06,Owen Power,BUF,ASSISTS,0.5,0.1797,0.152062,230,-325,betmgm,Under,0.108842,0.847938
2026-02-06,Owen Power,BUF,POINTS,0.5,0.2527,0.202,180,-240,draftkings,Under,0.13050000000000012,0.798
2026-02-06,Tage Thompson,BUF,ASSISTS,0.5,0.5375,0.360563,-105,-125,draftkings,Under,0.15098660000000008,0.639437
2026-02-06,Tage Thompson,BUF,GOALS,0.5,0.3027,0.235063,120,-160,fanduel,Under,0.24302262499999994,0.764937
2026-02-06,Tage Thompson,BUF,POINTS,1.5,0.0001,0.0,160,-212,draftkings,Under,0.4716981132075473,1.0
2026-02-06,Andrei Svechnikov,CAR,ASSISTS,0.5,0.4474,0.318375,126,-162,draftkings,Under,0.1023811728395061,0.6816249999999999
2026-02-06,Jordan Staal,CAR,ASSISTS,0.5,0.2453,0.201437,260,-375,betmgm,Under,0.011513133333333314,0.798563
2026-02-06,K'Andre Miller,CAR,ASSISTS,0.5,0.2453,0.196625,200,-285,betmgm,Under,0.08526096491228063,0.803375
2026-02-06,K'Andre Miller,CAR,POINTS,0.5,0.2107,0.174063,165,-218,draftkings,Under,0.2048071834862385,0.825937
2026-02-06,Sebastian Aho,CAR,GOALS,0.5,0.2458,0.196875,150,-210,fanduel,Under,0.18556547619047625,0.803125
2026-02-06,Shayne Gostisbehere,CAR,ASSISTS,0.5,0.2458,0.201563,130,-175,betmgm,Under,0.2546867142857144,0.7984370000000001
2026-02-06,Taylor Hall,CAR,ASSISTS,0.5,0.151,0.131062,270,-385,draftkings,Under,0.09463618181818187,0.868938
2026-02-06,Brad Marchand,FLA,ASSISTS,0.5,0.4193,0.301938,165,-220,betmgm,Under,0.015362909090909038,0.698062
2026-02-06,Matthew Tkachuk,FLA,ASSISTS,0.5,0.6241,0.39525,115,-148,draftkings,Under,0.013364864864864878,0.60475
2026-02-06,Uvis Balinskis,FLA,ASSISTS,0.5,0.2521,0.206437,230,-320,draftkings,Under,0.04155143750000001,0.793563
2026-02-06,Alex Laferriere,LAK,POINTS,0.5,0.403,0.289125,126,-162,draftkings,Under,0.14968672839506164,0.7108749999999999
2026-02-06,Andrei Kuzmenko,LAK,ASSISTS,0.5,0.237,0.19725,250,-350,draftkings,Under,0.032107142857142695,0.80275
