gamePk,date,home,away,home_goals_sim,away_goals_sim
2025020632,2026-01-01,Ottawa Senators,Washington Capitals,2,4
2025020633,2026-01-01,New York Islanders,Utah Mammoth,4,3
2025020634,2026-01-01,Toronto Maple Leafs,Winnipeg Jets,6,4
2025020635,2026-01-01,Pittsburgh Penguins,Detroit Red Wings,4,3
2025020636,2026-01-01,Carolina Hurricanes,Montréal Canadiens,2,4
2025020639,2026-01-01,Los Angeles Kings,Tampa Bay Lightning,3,3
2025020637,2026-01-01,Chicago Blackhawks,Dallas Stars,1,1
2025020638,2026-01-01,Seattle Kraken,Nashville Predators,6,4
