player,position,team
Corey Perry,F,LAK
Anze Kopitar,F,LAK
Drew Doughty,F,LAK
Steven Stamkos,F,NSH
Roman Josi,F,NSH
Ryan O'Reilly,F,NSH
Erik Haula,F,NSH
Mark Stone,F,VGK
Jonathan Marchessault,F,NSH
Brady Skjei,F,NSH
Tomas Hertl,F,VGK
Filip Forsberg,F,NSH
Carter Verhaeghe,F,FLA
Shea Theodore,F,VGK
Aaron Ekblad,F,FLA
Sam Reinhart,F,FLA
Sam Bennett,F,FLA
Kevin Fiala,F,LAK
Adrian Kempe,F,LAK
Ivan Barbashev,F,VGK
Michael Bunting,F,NSH
Gustav Forsling,F,FLA
Noah Hanifin,F,VGK
Rasmus Andersson,F,VGK
Jack Eichel,F,VGK
Mitch Marner,F,VGK
Evan Rodrigues,F,FLA
Matthew Tkachuk,F,FLA
Trevor Moore,F,LAK
Eetu Luostarinen,F,FLA
Pavel Dorofeyev,F,VGK
Quinton Byfield,F,LAK
Luke Evangelista,F,NSH
Alex Laferriere,F,LAK
Mackie Samoskevich,F,FLA
Brandt Clarke,F,LAK
Andrei Kuzmenko,F,LAK
Uvis Balinskis,F,FLA
