gamePk,date,home,away,home_goals_sim,away_goals_sim
2025020918,2026-02-26,Boston Bruins,Columbus Blue Jackets,3,0
2025020919,2026-02-26,Montréal Canadiens,New York Islanders,4,9
2025020920,2026-02-26,Ottawa Senators,Detroit Red Wings,5,3
2025020921,2026-02-26,Florida Panthers,Toronto Maple Leafs,3,1
2025020922,2026-02-26,Pittsburgh Penguins,New Jersey Devils,2,3
2025020923,2026-02-26,Carolina Hurricanes,Tampa Bay Lightning,5,4
2025020924,2026-02-26,New York Rangers,Philadelphia Flyers,8,2
2025020925,2026-02-26,St. Louis Blues,Seattle Kraken,9,1
2025020926,2026-02-26,Nashville Predators,Chicago Blackhawks,7,4
2025020927,2026-02-26,Colorado Avalanche,Minnesota Wild,5,4
2025020928,2026-02-26,San Jose Sharks,Calgary Flames,6,5
2025020929,2026-02-26,Los Angeles Kings,Edmonton Oilers,5,3
