team,player_id,period,player,game_home,game_away,date,shots,goals,assists,points,blocks,saves,toi_sec
Chicago Blackhawks,8473422,1,Nick Foligno,Chicago Blackhawks,Columbus Blue Jackets,2026-01-30,0.0,0.0,0.07,0.07,0.0,0.0,60.0
Chicago Blackhawks,8473422,2,Nick Foligno,Chicago Blackhawks,Columbus Blue Jackets,2026-01-30,0.0,0.0,0.05,0.05,0.0,0.0,60.0
Chicago Blackhawks,8473422,3,Nick Foligno,Chicago Blackhawks,Columbus Blue Jackets,2026-01-30,0.0,0.0,0.07,0.07,0.0,0.0,60.0
Chicago Blackhawks,8473422,4,Nick Foligno,Chicago Blackhawks,Columbus Blue Jackets,2026-01-30,0.02,0.0,0.0,0.0,0.0,0.0,3.0525
Chicago Blackhawks,8476473,1,Connor Murphy,Chicago Blackhawks,Columbus Blue Jackets,2026-01-30,0.4633333333333333,0.08,0.043333333333333335,0.12333333333333334,0.10666666666666667,0.0,122.9
Chicago Blackhawks,8476473,2,Connor Murphy,Chicago Blackhawks,Columbus Blue Jackets,2026-01-30,0.44,0.10333333333333333,0.05333333333333334,0.15666666666666668,0.13,0.0,133.2
Chicago Blackhawks,8476473,3,Connor Murphy,Chicago Blackhawks,Columbus Blue Jackets,2026-01-30,0.51,0.06333333333333334,0.04666666666666667,0.11000000000000001,0.13666666666666666,0.0,131.26666666666668
Chicago Blackhawks,8476473,4,Connor Murphy,Chicago Blackhawks,Columbus Blue Jackets,2026-01-30,0.04666666666666667,0.006666666666666667,0.0,0.006666666666666667,0.0033333333333333335,0.0,10.005
Chicago Blackhawks,8476882,1,Teuvo Teravainen,Chicago Blackhawks,Columbus Blue Jackets,2026-01-30,0.0033333333333333335,0.0,0.043333333333333335,0.043333333333333335,0.0,0.0,1.8
Chicago Blackhawks,8476882,2,Teuvo Teravainen,Chicago Blackhawks,Columbus Blue Jackets,2026-01-30,0.0033333333333333335,0.0,0.05333333333333334,0.05333333333333334,0.0,0.0,3.0
Chicago Blackhawks,8476882,3,Teuvo Teravainen,Chicago Blackhawks,Columbus Blue Jackets,2026-01-30,0.0,0.0,0.056666666666666664,0.056666666666666664,0.0,0.0,3.9
Chicago Blackhawks,8476882,4,Teuvo Teravainen,Chicago Blackhawks,Columbus Blue Jackets,2026-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.15
Chicago Blackhawks,8476891,1,Matt Grzelcyk,Chicago Blackhawks,Columbus Blue Jackets,2026-01-30,1.3033333333333332,0.21333333333333335,0.043333333333333335,0.2566666666666667,0.75,0.0,326.865
