date,player,team,opp,market,line,proj_lambda,p_over,over_price,under_price,book,side,price,ev,ev_over,chosen_prob,edge_score,edge_reasons,proj
2026-03-01,Tyler Bertuzzi,CHI,UTA,GOALS,0.5,0.0581868030130863,0.05605797548184303,260,-390,fanduel,Under,-390,0.18597844106127417,0.18597844106127417,0.943942024518157,0.687237683770839,p 94%; opp allow 2.80; line 0.5,0.0581868030130863
2026-03-01,Sam Bennett,FLA,NYI,GOALS,0.5,0.0932094380259513,0.08642900874907163,220,-310,fanduel,Under,-310,0.20827131100929225,0.20827131100929225,0.9135709912509283,0.6709545369790291,p 91%; opp allow 2.70; line 0.5,0.0932094380259513
2026-03-01,Frank Nazar,CHI,UTA,GOALS,0.5,0.0870703980326652,0.08121944492859143,360,-600,fanduel,Under,-600,0.07191064758331003,0.07191064758331003,0.9187805550714085,0.6671085082134403,p 92%; opp allow 2.80; line 0.5,0.0870703980326652
2026-03-01,Kiefer Sherwood,SJS,WPG,GOALS,0.5,0.0712129399180412,0.06754591300930156,250,-360,fanduel,Under,-360,0.1914691111547812,0.1914691111547812,0.9324540869906984,0.6515471013415,p 93%; opp allow 3.10; line 0.5,0.0712129399180412
2026-03-01,Matt Coronato,CGY,ANA,GOALS,0.5,0.0783887505531311,0.07377354705386804,275,-420,fanduel,Under,-420,0.1467565607904491,0.1467565607904491,0.9262264529461319,0.6373494903702838,p 93%; opp allow 3.20; line 0.5,0.0783887505531311
2026-03-01,Yegor Sharangovich,CGY,ANA,GOALS,0.5,0.0783887505531311,0.07377354705386804,290,-440,fanduel,Under,-440,0.13673246497934374,0.13673246497934374,0.9262264529461319,0.6373494903702838,p 93%; opp allow 3.20; line 0.5,0.0783887505531311
2026-03-01,Aaron Ekblad,FLA,NYI,ASSISTS,0.5,0.1262138336896896,0.13298858804138172,210,-295,betmgm,Under,-295,0.16091358550391266,0.16091358550391266,0.8670114119586183,0.6363396883513244,p 87%; opp allow 4.50; line 0.5,0.1262138336896896
2026-03-01,Gustav Forsling,FLA,NYI,ASSISTS,0.5,0.1262138336896896,0.13298858804138172,220,-300,betmgm,Under,-300,0.15601521594482437,0.15601521594482437,0.8670114119586183,0.6363396883513244,p 87%; opp allow 4.50; line 0.5,0.1262138336896896
2026-03-01,Will Smith,SJS,WPG,GOALS,0.5,0.0944525152444839,0.08747845611637324,230,-330,fanduel,Under,-330,0.18904322384836203,0.18904322384836203,0.9125215438836267,0.6356010668558426,p 91%; opp allow 3.10; line 0.5,0.0944525152444839
2026-03-01,Tomas Hertl,VGK,PIT,GOALS,0.5,0.1975357085466385,0.1691237427417582,220,-310,fanduel,Under,-310,0.09890085637380358,0.09890085637380358,0.8308762572582418,0.6190624078511544,p 83%; opp allow 2.50; line 0.5,0.1975357085466385
2026-03-01,Emil Heineman,NYI,FLA,GOALS,0.5,0.0800582990050315,0.0752128236957101,340,-550,fanduel,Under,-550,0.09293029926870625,0.09293029926870625,0.9247871763042899,0.6181025546430937,p 92%; opp allow 3.40; line 0.5,0.0800582990050315
2026-03-01,Noah Hanifin,VGK,PIT,ASSISTS,0.5,0.1597881913185119,0.16046965457583326,240,-350,betmgm,Under,-350,0.07939615840249994,0.07939615840249994,0.8395303454241667,0.6143548351237631,p 84%; opp allow 4.50; line 0.5,0.1597881913185119
2026-03-01,Aaron Ekblad,FLA,NYI,POINTS,0.5,0.1225288957357406,0.1651519117400442,165,-220,betmgm,Under,-220,0.21432449201448123,0.21432449201448123,0.8348480882599558,0.6101666619223188,p 83%; opp allow 7.20; line 0.5,0.1225288957357406
2026-03-01,Rickard Rakell,PIT,VGK,GOALS,0.5,0.093654952943325,0.08680533454360168,250,-380,fanduel,Under,-380,0.1535090511028188,0.1535090511028188,0.9131946654563983,0.6088285459647804,p 91%; opp allow 3.40; line 0.5,0.093654952943325
2026-03-01,Anders Lee,NYI,FLA,GOALS,0.5,0.0944636017084121,0.08748780758501709,300,-450,fanduel,Under,-450,0.11529267961831258,0.11529267961831258,0.9125121924149829,0.6082825675316482,p 91%; opp allow 3.40; line 0.5,0.0944636017084121
2026-03-01,Mason McTavish,ANA,CGY,ASSISTS,0.5,0.1197754070162773,0.12750790558566763,185,-250,betmgm,Under,-250,0.22148893218006527,0.22148893218006527,0.8724920944143324,0.603198449616435,p 87%; opp allow 5.30; line 0.5,0.1197754070162773
2026-03-01,Dylan Holloway,STL,MIN,GOALS,0.5,0.1207731142640113,0.10929624462628175,300,-470,fanduel,Under,-470,0.08021519268727542,0.08021519268727542,0.8907037553737183,0.5997771831370029,p 89%; opp allow 3.30; line 0.5,0.1207731142640113
2026-03-01,Pavel Buchnevich,STL,MIN,SOG,1.5,2.8144235610961914,0.7713662740206148,-192,146,fanduel,Over,-192,0.17311954173968502,0.17311954173968502,0.7713662740206148,0.5967858743463638,p 77%; opp allow 34.40; line 1.5,2.8144235610961914
2026-03-01,Carter Verhaeghe,FLA,NYI,GOALS,0.5,0.2143140137195587,0.18154042397206227,270,-420,fanduel,Under,-420,0.013330903653637233,0.013330903653637233,0.8184595760279377,0.5948654048006365,p 82%; opp allow 2.70; line 0.5,0.2143140137195587
2026-03-01,Connor Zary,CGY,ANA,ASSISTS,0.5,0.1206542551517486,0.12826038113459226,280,-400,betmgm,Under,-400,0.08967452358175967,0.08967452358175967,0.8717396188654077,0.5924925787590332,p 87%; opp allow 5.50; line 0.5,0.1206542551517486
2026-03-01,Blake Coleman,CGY,ANA,ASSISTS,0.5,0.1238943859934806,0.13102262663640354,350,-550,betmgm,Under,-550,0.026973259429704993,0.026973259429704993,0.8689773733635965,0.590282782357584,p 87%; opp allow 5.50; line 0.5,0.1238943859934806
2026-03-01,Yegor Sharangovich,CGY,ANA,POINTS,0.5,0.089922584593296,0.134486663127774,145,-188,draftkings,Under,-188,0.32589277137872913,0.32589277137872913,0.865513336872226,0.5879017652570024,p 87%; opp allow 8.70; line 0.5,0.089922584593296
2026-03-01,Sam Bennett,FLA,NYI,ASSISTS,0.5,0.2074266970157623,0.19678712232239473,155,-204,draftkings,Under,-204,0.1969446804607452,0.1969446804607452,0.8032128776776053,0.5853008609265139,p 80%; opp allow 4.50; line 0.5,0.2074266970157623
2026-03-01,Clayton Keller,UTA,CHI,POINTS,1.5,0.6809890866279602,0.12023479205176951,185,-248,draftkings,Under,-248,0.2345092434112268,0.2345092434112268,0.8797652079482305,0.5830620841901023,p 88%; opp allow 9.20; line 1.5,0.6809890866279602
2026-03-01,Matthew Tkachuk,FLA,NYI,GOALS,0.5,0.2349969744682312,0.1965520726383375,180,-250,fanduel,Under,-250,0.12482709830632743,0.12482709830632743,0.8034479273616625,0.5828560858676164,p 80%; opp allow 2.70; line 0.5,0.2349969744682312
2026-03-01,Tyler Toffoli,SJS,WPG,GOALS,0.5,0.1803831160068512,0.15619897711233327,290,-440,fanduel,Under,-440,0.035573982634863666,0.035573982634863666,0.8438010228876667,0.5806246500590745,p 84%; opp allow 3.10; line 0.5,0.1803831160068512
2026-03-01,Chris Kreider,ANA,CGY,ASSISTS,0.5,0.1551843434572219,0.15680251424648442,180,-250,betmgm,Under,-250,0.18047648005492178,0.18047648005492178,0.8431974857535156,0.5797627626877815,p 84%; opp allow 5.30; line 0.5,0.1551843434572219
2026-03-01,Brad Marchand,FLA,NYI,GOALS,0.5,0.2479136288166046,0.20576786390255208,220,-310,fanduel,Under,-310,0.05043605096759235,0.05043605096759235,0.7942321360974479,0.5754834528562447,p 79%; opp allow 2.70; line 0.5,0.2479136288166046
2026-03-01,Ben Kindel,PIT,VGK,ASSISTS,0.5,0.1273091286420822,0.13391370683969767,280,-400,betmgm,Under,-400,0.08260786645037799,0.08260786645037799,0.8660862931603024,0.5730624842959205,p 87%; opp allow 5.80; line 0.5,0.1273091286420822
2026-03-01,Leo Carlsson,ANA,CGY,GOALS,0.5,0.2280113250017166,0.19151747014347179,175,-240,fanduel,Under,-240,0.14535025063008172,0.14535025063008172,0.8084825298565282,0.5703691060538341,p 81%; opp allow 2.90; line 0.5,0.2280113250017166
2026-03-01,Joel Farabee,CGY,ANA,GOALS,0.5,0.1838903129100799,0.15886120438129744,290,-440,fanduel,Under,-440,0.03230670371386221,0.03230670371386221,0.8411387956187025,0.5692793645083403,p 84%; opp allow 3.20; line 0.5,0.1838903129100799
2026-03-01,Connor Bedard,CHI,UTA,ASSISTS,0.5,0.2148991972208023,0.20223894449500587,125,-165,betmgm,Under,-165,0.28125260429589954,0.28125260429589954,0.7977610555049941,0.5677886002727854,p 80%; opp allow 4.80; line 0.5,0.2148991972208023
