date,player,team,market,line,proj,p_over,over_price,under_price,book,side,ev,proj_lambda,ev_over
2025-10-15,Shane Pinto,OTT,GOALS,2.5,0.8,0.0474,7500.0,,betrivers,Over,2.6041,0.8,2.6041
2025-10-15,Shane Pinto,OTT,GOALS,1.5,0.8,0.1912,1600.0,,betrivers,Over,2.2505,0.8,2.2505
2025-10-15,Brad Marchand,FLA,GOALS,1.5,0.7,0.1558,1600.0,,betrivers,Over,1.6487,0.7,1.6487
2025-10-15,Evan Rodrigues,FLA,GOALS,1.5,0.5,0.0902,2800.0,,betrivers,Over,1.6159,0.5,1.6159
2025-10-15,Brad Marchand,FLA,GOALS,2.5,0.7,0.0341,7500.0,,betrivers,Over,1.5948,0.7,1.5948
2025-10-15,Sam Reinhart,FLA,GOALS,2.5,0.9,0.0629,4000.0,,betrivers,Over,1.5771,0.9,1.5771
2025-10-15,Matvei Gridin,CGY,GOALS,1.5,0.4,0.0616,4000.0,,betrivers,Over,1.5236,0.4,1.5236
2025-10-15,Dylan Larkin,DET,GOALS,1.5,0.7,0.1558,1300.0,,betrivers,Over,1.1813,0.7,1.1813
2025-10-15,Dylan Larkin,DET,GOALS,2.5,0.7,0.0341,6000.0,,betrivers,Over,1.0826,0.7,1.0826
2025-10-15,Sam Reinhart,FLA,GOALS,1.5,0.9,0.2275,800.0,,betrivers,Over,1.0477,0.9,1.0477
2025-10-15,Eetu Luostarinen,FLA,ASSISTS,0.5,0.8,0.5507,270.0,-385.0,draftkings,Over,1.0375,0.8,1.0375
2025-10-15,Eetu Luostarinen,FLA,ASSISTS,0.5,0.8,0.5507,270.0,-400.0,betmgm,Over,1.0375,0.8,1.0375
2025-10-15,Shane Pinto,OTT,GOALS,0.5,0.8,0.5507,270.0,-420.0,fanduel,Over,1.0375,0.8,1.0375
2025-10-15,Matvei Gridin,CGY,GOALS,0.5,0.4,0.3297,470.0,-800.0,fanduel,Over,0.8792,0.4,0.8792
