team,player_id,player,market,value,count,n_sims,game_home,game_away,date,period
Buffalo Sabres,8477949,,SOG,6.0,523,6000,Buffalo Sabres,Montréal Canadiens,2026-05-08,0
Buffalo Sabres,8477949,,GOALS,0.0,4201,6000,Buffalo Sabres,Montréal Canadiens,2026-05-08,0
Buffalo Sabres,8477949,,ASSISTS,0.0,4206,6000,Buffalo Sabres,Montréal Canadiens,2026-05-08,0
Buffalo Sabres,8477949,,POINTS,0.0,2929,6000,Buffalo Sabres,Montréal Canadiens,2026-05-08,0
Buffalo Sabres,8477949,,BLOCKS,1.0,1675,6000,Buffalo Sabres,Montréal Canadiens,2026-05-08,0
Buffalo Sabres,8477949,,SAVES,0.0,6000,6000,Buffalo Sabres,Montréal Canadiens,2026-05-08,0
Buffalo Sabres,8479420,,SOG,3.0,1105,6000,Buffalo Sabres,Montréal Canadiens,2026-05-08,0
Buffalo Sabres,8479420,,GOALS,0.0,5123,6000,Buffalo Sabres,Montréal Canadiens,2026-05-08,0
Buffalo Sabres,8479420,,ASSISTS,0.0,3718,6000,Buffalo Sabres,Montréal Canadiens,2026-05-08,0
Buffalo Sabres,8479420,,POINTS,0.0,3146,6000,Buffalo Sabres,Montréal Canadiens,2026-05-08,0
Buffalo Sabres,8479420,,BLOCKS,2.0,1530,6000,Buffalo Sabres,Montréal Canadiens,2026-05-08,0
Buffalo Sabres,8479420,,SAVES,0.0,6000,6000,Buffalo Sabres,Montréal Canadiens,2026-05-08,0
Buffalo Sabres,8480802,,SOG,4.0,500,6000,Buffalo Sabres,Montréal Canadiens,2026-05-08,0
Buffalo Sabres,8480802,,GOALS,0.0,5453,6000,Buffalo Sabres,Montréal Canadiens,2026-05-08,0
Buffalo Sabres,8480802,,ASSISTS,0.0,4294,6000,Buffalo Sabres,Montréal Canadiens,2026-05-08,0
Buffalo Sabres,8480802,,POINTS,0.0,3898,6000,Buffalo Sabres,Montréal Canadiens,2026-05-08,0
Buffalo Sabres,8480802,,BLOCKS,0.0,3527,6000,Buffalo Sabres,Montréal Canadiens,2026-05-08,0
Buffalo Sabres,8480802,,SAVES,0.0,6000,6000,Buffalo Sabres,Montréal Canadiens,2026-05-08,0
Buffalo Sabres,8480839,,SOG,7.0,201,6000,Buffalo Sabres,Montréal Canadiens,2026-05-08,0
Buffalo Sabres,8480839,,GOALS,0.0,4733,6000,Buffalo Sabres,Montréal Canadiens,2026-05-08,0
Buffalo Sabres,8480839,,ASSISTS,0.0,3967,6000,Buffalo Sabres,Montréal Canadiens,2026-05-08,0
Buffalo Sabres,8480839,,POINTS,0.0,3142,6000,Buffalo Sabres,Montréal Canadiens,2026-05-08,0
Buffalo Sabres,8480839,,BLOCKS,3.0,891,6000,Buffalo Sabres,Montréal Canadiens,2026-05-08,0
Buffalo Sabres,8480839,,SAVES,0.0,6000,6000,Buffalo Sabres,Montréal Canadiens,2026-05-08,0
Buffalo Sabres,8481524,,SOG,1.0,1086,6000,Buffalo Sabres,Montréal Canadiens,2026-05-08,0
Buffalo Sabres,8481524,,GOALS,0.0,3910,6000,Buffalo Sabres,Montréal Canadiens,2026-05-08,0
Buffalo Sabres,8481524,,ASSISTS,0.0,4467,6000,Buffalo Sabres,Montréal Canadiens,2026-05-08,0
Buffalo Sabres,8481524,,POINTS,0.0,2902,6000,Buffalo Sabres,Montréal Canadiens,2026-05-08,0
Buffalo Sabres,8481524,,BLOCKS,0.0,2213,6000,Buffalo Sabres,Montréal Canadiens,2026-05-08,0
Buffalo Sabres,8481524,,SAVES,0.0,6000,6000,Buffalo Sabres,Montréal Canadiens,2026-05-08,0
Montréal Canadiens,8480018,,SOG,4.0,1029,6000,Buffalo Sabres,Montréal Canadiens,2026-05-08,0
Montréal Canadiens,8480018,,GOALS,0.0,4764,6000,Buffalo Sabres,Montréal Canadiens,2026-05-08,0
Montréal Canadiens,8480018,,ASSISTS,0.0,4289,6000,Buffalo Sabres,Montréal Canadiens,2026-05-08,0
Montréal Canadiens,8480018,,POINTS,0.0,3384,6000,Buffalo Sabres,Montréal Canadiens,2026-05-08,0
Montréal Canadiens,8480018,,BLOCKS,1.0,2184,6000,Buffalo Sabres,Montréal Canadiens,2026-05-08,0
Montréal Canadiens,8480018,,SAVES,0.0,6000,6000,Buffalo Sabres,Montréal Canadiens,2026-05-08,0
Montréal Canadiens,8483515,,SOG,2.0,1113,6000,Buffalo Sabres,Montréal Canadiens,2026-05-08,0
Montréal Canadiens,8483515,,GOALS,0.0,4127,6000,Buffalo Sabres,Montréal Canadiens,2026-05-08,0
Montréal Canadiens,8483515,,ASSISTS,1.0,1298,6000,Buffalo Sabres,Montréal Canadiens,2026-05-08,0
Montréal Canadiens,8483515,,POINTS,1.0,2087,6000,Buffalo Sabres,Montréal Canadiens,2026-05-08,0
Montréal Canadiens,8483515,,BLOCKS,2.0,1165,6000,Buffalo Sabres,Montréal Canadiens,2026-05-08,0
Montréal Canadiens,8483515,,SAVES,0.0,6000,6000,Buffalo Sabres,Montréal Canadiens,2026-05-08,0
Montréal Canadiens,8481540,,SOG,6.0,579,6000,Buffalo Sabres,Montréal Canadiens,2026-05-08,0
Montréal Canadiens,8481540,,GOALS,0.0,5230,6000,Buffalo Sabres,Montréal Canadiens,2026-05-08,0
Montréal Canadiens,8481540,,ASSISTS,1.0,1628,6000,Buffalo Sabres,Montréal Canadiens,2026-05-08,0
Montréal Canadiens,8481540,,POINTS,1.0,1939,6000,Buffalo Sabres,Montréal Canadiens,2026-05-08,0
Montréal Canadiens,8481540,,BLOCKS,0.0,4006,6000,Buffalo Sabres,Montréal Canadiens,2026-05-08,0
Montréal Canadiens,8481540,,SAVES,0.0,6000,6000,Buffalo Sabres,Montréal Canadiens,2026-05-08,0
Montréal Canadiens,8483457,,SOG,5.0,654,6000,Buffalo Sabres,Montréal Canadiens,2026-05-08,0
Montréal Canadiens,8483457,,GOALS,2.0,125,6000,Buffalo Sabres,Montréal Canadiens,2026-05-08,0
Montréal Canadiens,8483457,,ASSISTS,0.0,4254,6000,Buffalo Sabres,Montréal Canadiens,2026-05-08,0
Montréal Canadiens,8483457,,POINTS,2.0,532,6000,Buffalo Sabres,Montréal Canadiens,2026-05-08,0
