gamePk,date,home,away,home_goals_sim,away_goals_sim
2025020667,2026-01-06,Buffalo Sabres,Vancouver Canucks,7,6
2025020668,2026-01-06,Tampa Bay Lightning,Colorado Avalanche,0,3
2025020670,2026-01-06,Philadelphia Flyers,Anaheim Ducks,0,5
2025020671,2026-01-06,Carolina Hurricanes,Dallas Stars,5,1
2025020669,2026-01-06,New York Islanders,New Jersey Devils,6,1
2025020672,2026-01-06,Toronto Maple Leafs,Florida Panthers,3,5
2025020673,2026-01-06,Winnipeg Jets,Vegas Golden Knights,4,7
2025020674,2026-01-06,Edmonton Oilers,Nashville Predators,5,3
2025020675,2026-01-06,San Jose Sharks,Columbus Blue Jackets,3,3
2025020676,2026-01-06,Seattle Kraken,Boston Bruins,2,1
