gamePk,date,home,away,home_goals_sim,away_goals_sim
2025020970,2026-03-04,Detroit Red Wings,Vegas Golden Knights,3,4
2025020971,2026-03-04,New Jersey Devils,Toronto Maple Leafs,1,6
2025020972,2026-03-04,Vancouver Canucks,Carolina Hurricanes,2,1
2025020973,2026-03-04,Anaheim Ducks,New York Islanders,5,2
2025020974,2026-03-04,Seattle Kraken,St. Louis Blues,2,3
