date,home,away,market,ev
2026-02-26T00:30:00Z,Tampa Bay Lightning,Toronto Maple Leafs,ev_away_ml,0.4569
2026-02-26T03:00:00Z,Vancouver Canucks,Winnipeg Jets,ev_under,0.3802
2026-02-26T01:00:00Z,Dallas Stars,Seattle Kraken,ev_under,0.2843
2026-02-26T00:30:00Z,Tampa Bay Lightning,Toronto Maple Leafs,ev_away_pl_+1.5,0.2446
2026-02-26T03:30:00Z,Anaheim Ducks,Edmonton Oilers,ev_under,0.2357
2026-02-26T02:00:00Z,Utah Mammoth,Colorado Avalanche,ev_under,0.2155
2026-02-26T00:00:00Z,New Jersey Devils,Buffalo Sabres,ev_away_ml,0.1983
2026-02-26T03:00:00Z,Los Angeles Kings,Vegas Golden Knights,ev_home_ml,0.1671
2026-02-26T00:00:00Z,Washington Capitals,Philadelphia Flyers,ev_away_ml,0.1668
2026-02-26T01:00:00Z,Dallas Stars,Seattle Kraken,ev_home_ml,0.1271
2026-02-26T03:00:00Z,Los Angeles Kings,Vegas Golden Knights,ev_home_pl_-1.5,0.1088
2026-02-26T02:00:00Z,Utah Mammoth,Colorado Avalanche,ev_away_ml,0.0862
2026-02-26T00:00:00Z,New Jersey Devils,Buffalo Sabres,ev_away_pl_+1.5,0.0855
2026-02-26T00:00:00Z,Washington Capitals,Philadelphia Flyers,ev_home_pl_-1.5,0.0539
2026-02-26T03:30:00Z,Anaheim Ducks,Edmonton Oilers,ev_away_ml,0.0521
2026-02-26T01:00:00Z,Dallas Stars,Seattle Kraken,ev_away_pl_+1.5,-0.0125
2026-02-26T03:00:00Z,Los Angeles Kings,Vegas Golden Knights,ev_under,-0.0159
2026-02-26T00:30:00Z,Tampa Bay Lightning,Toronto Maple Leafs,ev_under,-0.0181
2026-02-26T00:00:00Z,Washington Capitals,Philadelphia Flyers,ev_under,-0.0341
2026-02-26T00:00:00Z,New Jersey Devils,Buffalo Sabres,ev_under,-0.0356
2026-02-26T03:00:00Z,Vancouver Canucks,Winnipeg Jets,ev_away_ml,-0.0399
2026-02-26T03:00:00Z,Vancouver Canucks,Winnipeg Jets,ev_home_ml,-0.0403
2026-02-26T00:00:00Z,New Jersey Devils,Buffalo Sabres,ev_over,-0.0447
2026-02-26T00:00:00Z,Washington Capitals,Philadelphia Flyers,ev_over,-0.05
2026-02-26T00:30:00Z,Tampa Bay Lightning,Toronto Maple Leafs,ev_over,-0.0671
2026-02-26T03:00:00Z,Los Angeles Kings,Vegas Golden Knights,ev_over,-0.0746
2026-02-26T01:00:00Z,Dallas Stars,Seattle Kraken,ev_home_pl_-1.5,-0.0882
2026-02-26T00:00:00Z,Washington Capitals,Philadelphia Flyers,ev_away_pl_+1.5,-0.0956
2026-02-26T03:00:00Z,Los Angeles Kings,Vegas Golden Knights,ev_away_pl_+1.5,-0.1189
2026-02-26T03:30:00Z,Anaheim Ducks,Edmonton Oilers,ev_home_ml,-0.1463
2026-02-26T02:00:00Z,Utah Mammoth,Colorado Avalanche,ev_home_ml,-0.1858
2026-02-26T00:00:00Z,Washington Capitals,Philadelphia Flyers,ev_home_ml,-0.1895
2026-02-26T03:30:00Z,Anaheim Ducks,Edmonton Oilers,ev_over,-0.2719
2026-02-26T01:00:00Z,Dallas Stars,Seattle Kraken,ev_away_ml,-0.2847
2026-02-26T00:00:00Z,New Jersey Devils,Buffalo Sabres,ev_home_ml,-0.2849
2026-02-26T00:30:00Z,Tampa Bay Lightning,Toronto Maple Leafs,ev_home_ml,-0.294
2026-02-26T03:00:00Z,Los Angeles Kings,Vegas Golden Knights,ev_away_ml,-0.3201
2026-02-26T02:00:00Z,Utah Mammoth,Colorado Avalanche,ev_over,-0.3344
2026-02-26T00:00:00Z,New Jersey Devils,Buffalo Sabres,ev_home_pl_-1.5,-0.3347
2026-02-26T01:00:00Z,Dallas Stars,Seattle Kraken,ev_over,-0.3752
2026-02-26T00:30:00Z,Tampa Bay Lightning,Toronto Maple Leafs,ev_home_pl_-1.5,-0.4067
2026-02-26T03:00:00Z,Vancouver Canucks,Winnipeg Jets,ev_over,-0.5219
