date,player,team,opp,market,line,book,over_price,under_price,proj_lambda,p_over,side,ev,chosen_prob,source,team_norm,player_norm
2026-02-03,Chris Kreider,ANA,,ASSISTS,0.5,draftkings,230.0,-320.0,0.1234,0.111812,Under,0.1657467499999999,0.888188,ev,ANA,chris kreider
2026-02-03,Chris Kreider,ANA,,POINTS,0.5,pinnacle,-112.0,-119.0,0.4356,0.31225,Under,0.2656911764705882,0.68775,ev,ANA,chris kreider
2026-02-03,Mason McTavish,ANA,,ASSISTS,0.5,betmgm,230.0,-325.0,0.1234,0.106125,Under,0.1689134615384615,0.893875,ev,ANA,mason mctavish
2026-02-03,Mason McTavish,ANA,,POINTS,0.5,draftkings,105.0,-135.0,0.4441,0.312875,Under,0.1961064814814814,0.687125,ev,ANA,mason mctavish
2026-02-03,Mikael Granlund,ANA,,ASSISTS,0.5,betmgm,145.0,-190.0,0.4555,0.315,Under,0.0455263157894736,0.685,ev,ANA,mikael granlund
2026-02-03,Troy Terry,ANA,,ASSISTS,0.5,draftkings,160.0,-212.0,0.4475,0.315312,Under,0.0076540377358491,0.684688,ev,ANA,troy terry
2026-02-03,Alex Tuch,BUF,,ASSISTS,0.5,draftkings,185.0,-248.0,0.2789,0.228625,Under,0.0824133064516129,0.771375,ev,BUF,alex tuch
2026-02-03,Bowen Byram,BUF,,ASSISTS,0.5,draftkings,270.0,-385.0,0.2315,0.193375,Under,0.0161379870129871,0.806625,ev,BUF,bowen byram
2026-02-03,Jason Zucker,BUF,,ASSISTS,0.5,betmgm,200.0,-285.0,0.3288,0.254437,Under,0.0071640526315788,0.745563,ev,BUF,jason zucker
2026-02-03,Josh Doan,BUF,,ASSISTS,0.5,betmgm,190.0,-250.0,0.1797,0.15325,Under,0.1854499999999999,0.84675,ev,BUF,josh doan
2026-02-03,Josh Doan,BUF,,POINTS,0.5,pinnacle,100.0,-133.0,0.3756,0.28375,Under,0.2547838345864662,0.71625,ev,BUF,josh doan
2026-02-03,Noah Östlund,BUF,,ASSISTS,0.5,betmgm,300.0,-450.0,0.0363,0.035187,Under,0.179215888888889,0.964813,ev,BUF,noah östlund
2026-02-03,Noah Östlund,BUF,,POINTS,0.5,betmgm,170.0,-235.0,0.1931,0.165687,Under,0.1893398085106382,0.834313,ev,BUF,noah östlund
2026-02-03,Owen Power,BUF,,ASSISTS,0.5,betmgm,300.0,-450.0,0.1797,0.15425,Under,0.0336944444444445,0.84575,ev,BUF,owen power
2026-02-03,Tage Thompson,BUF,,ASSISTS,0.5,draftkings,120.0,-154.0,0.5375,0.36375,Under,0.0493993506493506,0.63625,ev,BUF,tage thompson
2026-02-03,Tage Thompson,BUF,,GOALS,0.5,fanduel,160.0,-220.0,0.3027,0.238937,Under,0.1070007272727273,0.761063,ev,BUF,tage thompson
2026-02-03,Tage Thompson,BUF,,POINTS,0.5,betmgm,-220.0,160.0,0.0001,0.0,Under,1.6,1.0,ev,BUF,tage thompson
2026-02-03,Zach Benson,BUF,,ASSISTS,0.5,betmgm,190.0,-250.0,0.305,0.240063,Under,0.0639117999999999,0.759937,ev,BUF,zach benson
2026-02-03,Andrei Svechnikov,CAR,,ASSISTS,0.5,draftkings,126.0,-162.0,0.4474,0.319,Under,0.1013703703703705,0.681,ev,CAR,andrei svechnikov
2026-02-03,K'Andre Miller,CAR,,ASSISTS,0.5,draftkings,210.0,-285.0,0.2453,0.200125,Under,0.0805328947368421,0.799875,ev,CAR,k'andre miller
2026-02-03,K'Andre Miller,CAR,,POINTS,0.5,draftkings,165.0,-218.0,0.2107,0.174125,Under,0.204716743119266,0.825875,ev,CAR,k'andre miller
2026-02-03,Logan Stankoven,CAR,,POINTS,0.5,draftkings,145.0,-188.0,0.3426,0.261125,Under,0.1318936170212765,0.738875,ev,CAR,logan stankoven
2026-02-03,Nikolaj Ehlers,CAR,,ASSISTS,0.5,draftkings,135.0,-175.0,0.5167,0.3455,Under,0.0285,0.6545000000000001,ev,CAR,nikolaj ehlers
2026-02-03,Sebastian Aho,CAR,,GOALS,0.5,fanduel,155.0,-210.0,0.2458,0.197875,Under,0.1840892857142857,0.802125,ev,CAR,sebastian aho
