gamePk,date,home,away,home_goals_sim,away_goals_sim
2025020697,2026-01-10,Boston Bruins,New York Rangers,1,2
2025020698,2026-01-10,Pittsburgh Penguins,Calgary Flames,2,5
2025020699,2026-01-10,Colorado Avalanche,Columbus Blue Jackets,3,2
2025020700,2026-01-10,San Jose Sharks,Dallas Stars,1,1
2025020701,2026-01-10,Buffalo Sabres,Anaheim Ducks,3,1
2025020702,2026-01-10,Toronto Maple Leafs,Vancouver Canucks,5,5
2025020703,2026-01-10,Montréal Canadiens,Detroit Red Wings,4,7
2025020704,2026-01-10,Ottawa Senators,Florida Panthers,3,3
2025020705,2026-01-10,Philadelphia Flyers,Tampa Bay Lightning,1,4
2025020706,2026-01-10,Carolina Hurricanes,Seattle Kraken,2,2
2025020707,2026-01-10,Nashville Predators,Chicago Blackhawks,3,3
2025020708,2026-01-10,Minnesota Wild,New York Islanders,4,3
2025020709,2026-01-10,Edmonton Oilers,Los Angeles Kings,2,1
2025020710,2026-01-10,Vegas Golden Knights,St. Louis Blues,3,3
