player,position,team
Jordan Staal,F,CAR
Alex Killorn,F,ANA
Patrick Kane,F,DET
Jordan Eberle,F,SEA
John Tavares,F,TOR
Evander Kane,F,VAN
Brayden Schenn,F,STL
Oliver Ekman-Larsson,F,TOR
Chris Kreider,F,ANA
Anders Lee,F,NYI
Justin Faulk,F,STL
Cam Fowler,F,STL
Jaden Schwartz,F,SEA
Taylor Hall,F,CAR
Brandon Saad,F,VGK
Dougie Hamilton,F,NJD
Morgan Rielly,F,TOR
Tomas Hertl,F,VGK
Jacob Trouba,F,ANA
Chandler Stephenson,F,SEA
Shayne Gostisbehere,F,CAR
Connor Brown,F,NJD
Pavel Buchnevich,F,STL
Andrew Copp,F,DET
Shea Theodore,F,VGK
Bo Horvat,F,NYI
Max Domi,F,TOR
William Nylander,F,TOR
Nikolaj Ehlers,F,CAR
Dylan Larkin,F,DET
Tony DeAngelo,F,NYI
Jared McCann,F,SEA
Ivan Barbashev,F,VGK
Brandon Montour,F,SEA
Noah Hanifin,F,VGK
Rasmus Andersson,F,VGK
Jack Eichel,F,VGK
Vince Dunn,F,SEA
Timo Meier,F,NJD
Sebastian Aho,F,CAR
Brock Boeser,F,VAN
Mathew Barzal,F,NYI
Mitch Marner,F,VGK
Jake DeBrusk,F,VAN
Conor Garland,F,VAN
Auston Matthews,F,TOR
Alex DeBrincat,F,DET
Jordan Kyrou,F,STL
Jesper Bratt,F,NJD
Filip Hronek,F,VAN
Nico Hischier,F,NJD
Eeli Tolvanen,F,SEA
Robert Thomas,F,STL
Ryan Poehling,F,ANA
Sean Walker,F,CAR
K'Andre Miller,F,CAR
Andrei Svechnikov,F,CAR
Moritz Seider,F,DET
Kaapo Kakko,F,SEA
Jack Hughes,F,NJD
Philip Broberg,F,STL
Simon Holmstrom,F,NYI
Pavel Dorofeyev,F,VGK
Jackson LaCombe,F,ANA
Arseny Gritsyuk,F,NJD
Dylan Holloway,F,STL
Lucas Raymond,F,DET
Marco Rossi,F,VAN
Jake Neighbours,F,STL
Seth Jarvis,F,CAR
Dawson Mercer,F,NJD
Bobby McMann,F,TOR
Emil Heineman,F,NYI
Matty Beniers,F,SEA
Luke Hughes,F,NJD
Logan Stankoven,F,CAR
Matthew Knies,F,TOR
Mason McTavish,F,ANA
Jackson Blake,F,CAR
Cutter Gauthier,F,ANA
Marco Kasper,F,DET
Jimmy Snuggerud,F,STL
Shane Wright,F,SEA
Elias Pettersson,F,VAN
Leo Carlsson,F,ANA
Beckett Sennecke,F,ANA
Matthew Schaefer,F,NYI
