date,player,team,opp,market,line,proj_lambda,p_over,over_price,under_price,book,side,price,ev,prob,edge_score,edge_reasons,chosen_prob
2026-03-18,Tom Wilson,WSH,OTT,POINTS,0.5,0.1161,0.106375,-152.0,116.0,betonlineag,Under,116.0,0.9232341492911205,0.8903861802273705,0.6636349183895422,MODEL UND · CONF60+ · MATCHUP+,0.8903861802273705
2026-03-18,Valeri Nichushkin,COL,DAL,POINTS,0.5,0.288,0.225875,-119.0,-109.0,betonlineag,Under,-109.0,0.43761626401797826,0.7497615922390413,0.5664628508507631,MODEL UND · CONF60+ · B2B · MATCHUP+,0.7497615922390413
2026-03-18,Jesper Bratt,NJD,NYR,SOG,1.5,2.7552,0.567312,-188.0,145.0,draftkings,Over,-188.0,0.16606784635385236,0.761183177480987,0.5659099839739228,MODEL OVR · CONF60+ · MATCHUP+,0.761183177480987
2026-03-18,Dylan Holloway,STL,CGY,POINTS,0.5,1.4142,0.60425,-142.0,110.0,draftkings,Over,-142.0,0.28989403048917994,0.7568799683035684,0.5581791806622503,MODEL OVR · CONF60+ · MATCHUP+,0.7568799683035684
2026-03-18,Robert Thomas,STL,CGY,POINTS,0.5,1.3885,0.606688,-182.0,140.0,draftkings,Over,-182.0,0.16294135264475612,0.7505508020615093,0.5531158476686029,MODEL OVR · CONF60+ · MATCHUP+,0.7505508020615093
2026-03-18,Adam Fox,NYR,NJD,ASSISTS,0.5,0.3022,0.23375,-105.0,-125.0,betmgm,Under,-125.0,0.3305423817121931,0.7391902120623295,0.5148334729958952,MODEL UND · CONF60+ · MATCHUP+,0.7391902120623295
2026-03-18,Jason Robertson,DAL,COL,POINTS,0.5,1.5192,0.620313,-225.0,165.0,betmgm,Over,-225.0,0.12827443954586476,0.7811130735317525,0.5057123471452928,MODEL OVR · CONF60+ · B2B · MATCHUP-,0.7811130735317525
2026-03-18,Jimmy Snuggerud,STL,CGY,POINTS,0.5,1.1746,0.563875,-142.0,110.0,draftkings,Over,-142.0,0.1777176567516388,0.6910574680112922,0.5055211804284293,MODEL OVR · CONF60+ · MATCHUP+,0.6910574680112922
2026-03-18,Wyatt Johnston,DAL,COL,POINTS,0.5,1.5132,0.616375,-162.0,126.0,draftkings,Over,-162.0,0.26115123875632,0.7797958041165032,0.5046585316130933,MODEL OVR · CONF60+ · B2B · MATCHUP-,0.7797958041165032
2026-03-18,Alex Ovechkin,WSH,OTT,POINTS,0.5,0.376,0.281375,-143.0,110.0,betonlineag,Under,110.0,0.44186489938883244,0.6866023330423011,0.5006078406414867,MODEL UND · CONF60+ · MATCHUP+,0.6866023330423011
2026-03-18,Gabe Perreault,NYR,NJD,SOG,1.5,2.725,0.556,-108.0,-124.0,williamhill_us,Over,-108.0,0.4556926123525441,0.7558403948753594,0.4909278414557313,MODEL OVR · CONF60+,0.7558403948753594
2026-03-18,Erik Karlsson,PIT,CAR,POINTS,0.5,1.3407,0.592875,-118.0,-110.0,betmgm,Over,-118.0,0.36404735522542186,0.7383375592504577,0.48482034109221617,MODEL OVR · CONF60+ · B2B,0.7383375592504577
2026-03-18,Matt Duchene,DAL,COL,POINTS,0.5,1.3915,0.604563,-110.0,-118.0,betmgm,Over,-110.0,0.4342962357607174,0.7512980282556139,0.48186031092438186,MODEL OVR · CONF60+ · B2B · MATCHUP-,0.7512980282556139
2026-03-18,Bryan Rust,PIT,CAR,POINTS,0.5,1.2124,0.568375,-135.0,100.0,betmgm,Over,-135.0,0.22290089585937278,0.7025175359192142,0.4561643224272213,MODEL OVR · CONF60+ · B2B,0.7025175359192142
2026-03-18,Miro Heiskanen,DAL,COL,POINTS,0.5,1.259,0.574937,-112.0,-115.0,betonlineag,Over,-112.0,0.3554034075989194,0.7160621775994291,0.45367163039943403,MODEL OVR · CONF60+ · B2B · MATCHUP-,0.7160621775994291
2026-03-18,Brock Nelson,COL,DAL,POINTS,0.5,0.4986,0.33075,-185.0,135.0,betmgm,Under,135.0,0.42734393368733925,0.6073803973137614,0.45255789491053916,MODEL UND · CONF60+ · B2B · MATCHUP+,0.6073803973137614
2026-03-18,Jesper Bratt,NJD,NYR,POINTS,0.5,1.1449,0.549438,-154.0,120.0,draftkings,Over,-154.0,0.12443533499716763,0.6817442582266292,0.4395457002731533,MODEL OVR · CONF60+,0.6817442582266292
2026-03-18,Evgeni Malkin,PIT,CAR,POINTS,0.5,1.0923,0.541438,-135.0,105.0,draftkings,Over,-135.0,0.15681955681576204,0.6645559156175654,0.42579502618590237,MODEL OVR · CONF60+ · B2B,0.6645559156175654
2026-03-18,Nico Hischier,NJD,NYR,POINTS,0.5,0.4489,0.318375,-145.0,110.0,betmgm,Under,110.0,0.340492849839658,0.6383299284950752,0.41651364910421024,MODEL UND · CONF60+,0.6383299284950752
2026-03-18,Luke Hughes,NJD,NYR,POINTS,0.5,1.0296,0.528438,120.0,-156.0,betonlineag,Over,120.0,0.4142704577809714,0.6428502080822597,0.4084304601576577,MODEL OVR · CONF60+,0.6428502080822597
2026-03-18,Erik Karlsson,PIT,CAR,ASSISTS,0.5,0.9657,0.509125,115.0,-148.0,draftkings,Over,115.0,0.33145929963994947,0.6192833951813719,0.3969703181840775,MODEL OVR · CONF60+ · B2B,0.6192833951813719
