date,home,away,market,bet,price,model_prob,ev,edge,book,result
2025-09-26,Pittsburgh Penguins,Detroit Red Wings,puckline,away_pl_+1.5,-110.0,0.8159385672627187,0.5577009011379177,,,
2025-09-26,Pittsburgh Penguins,Detroit Red Wings,moneyline,away_ml,135.0,0.6156311001356949,0.4467,0.2097,bovada,
2025-09-27,San Jose Sharks,Vegas Golden Knights,moneyline,home_ml,-125.0,0.7497101887866036,0.3495,0.2172,bovada,
2025-09-27,Edmonton Oilers,Winnipeg Jets,puckline,away_pl_+1.5,-110.0,0.6773722833901337,0.29316526829025524,,,
2025-09-27,Vancouver Canucks,Seattle Kraken,moneyline,home_ml,-130.0,0.7278074329243466,0.2877,0.1851,bovada,
2025-09-26,New York Islanders,New Jersey Devils,puckline,away_pl_+1.5,-110.0,0.6261555566034324,0.19538788078837088,,,
2025-09-27,Edmonton Oilers,Winnipeg Jets,totals,under,-110.0,0.6140488309422427,0.1722750408897361,,,
2025-09-26,Tampa Bay Lightning,Carolina Hurricanes,puckline,away_pl_+1.5,-110.0,0.6127650303105716,0.16982414877472762,,,
2025-09-27,San Jose Sharks,Vegas Golden Knights,totals,under,-110.0,0.5726933328648163,0.09332363546919475,,,
2025-09-26,New York Islanders,New Jersey Devils,moneyline,home_ml,-145.0,0.6048782020621232,0.022,0.0393,bovada,
2025-09-26,Tampa Bay Lightning,Carolina Hurricanes,moneyline,home_ml,-165.0,0.6261201388665106,0.0056,0.0321,bovada,
