gamePk,date,team,player_id,full_name,position,shots,goals,saves
2025020770,2026-01-19,Carolina Hurricanes,8478427,Sebastian Aho,F,4,0,0
2025020770,2026-01-19,Carolina Hurricanes,8482809,Jackson Blake,F,0,0,0
2025020770,2026-01-19,Carolina Hurricanes,8477478,William Carrier,F,0,0,0
2025020770,2026-01-19,Carolina Hurricanes,8477940,Nikolaj Ehlers,F,2,0,0
2025020770,2026-01-19,Carolina Hurricanes,8475791,Taylor Hall,F,3,0,0
2025020770,2026-01-19,Carolina Hurricanes,8476873,Mark Jankowski,F,1,0,0
2025020770,2026-01-19,Carolina Hurricanes,8482093,Seth Jarvis,F,1,0,0
2025020770,2026-01-19,Carolina Hurricanes,8480829,Jesperi Kotkaniemi,F,0,1,0
2025020770,2026-01-19,Carolina Hurricanes,8476921,Jordan Martinook,F,0,0,0
2025020770,2026-01-19,Carolina Hurricanes,8481491,Noah Philp,F,1,0,0
2025020770,2026-01-19,Carolina Hurricanes,8480762,Eric Robinson,F,1,0,0
2025020770,2026-01-19,Carolina Hurricanes,8473533,Jordan Staal,F,0,0,0
2025020770,2026-01-19,Carolina Hurricanes,8482702,Logan Stankoven,F,1,0,0
2025020770,2026-01-19,Carolina Hurricanes,8480830,Andrei Svechnikov,F,0,0,0
2025020770,2026-01-19,Carolina Hurricanes,8478970,Jalen Chatfield,D,3,1,0
2025020770,2026-01-19,Carolina Hurricanes,8476906,Shayne Gostisbehere,D,2,0,0
2025020770,2026-01-19,Carolina Hurricanes,8484428,Charles Alexis Legault,D,2,0,0
2025020770,2026-01-19,Carolina Hurricanes,8480817,K'Andre Miller,D,1,0,0
2025020770,2026-01-19,Carolina Hurricanes,8482100,Alexander Nikishin,D,1,1,0
2025020770,2026-01-19,Carolina Hurricanes,8482911,Joel Nystrom,D,2,0,0
2025020770,2026-01-19,Carolina Hurricanes,8476422,Mike Reilly,D,5,1,0
2025020770,2026-01-19,Carolina Hurricanes,8476958,Jaccob Slavin,D,0,0,0
2025020770,2026-01-19,Carolina Hurricanes,8480336,Sean Walker,D,0,0,0
2025020770,2026-01-19,Carolina Hurricanes,8475883,Frederik Andersen,G,0,0,0
2025020770,2026-01-19,Carolina Hurricanes,8483548,Brandon Bussi,G,0,0,34
2025020770,2026-01-19,Carolina Hurricanes,8481611,Pyotr Kochetkov,G,0,0,0
2025020770,2026-01-19,Buffalo Sabres,8484145,Zach Benson,F,6,1,0
2025020770,2026-01-19,Buffalo Sabres,8479941,Justin Danforth,F,0,0,0
2025020770,2026-01-19,Buffalo Sabres,8482659,Josh Doan,F,0,0,0
2025020770,2026-01-19,Buffalo Sabres,8482623,Josh Dunne,F,0,0,0
