team,player_id,period,player,game_home,game_away,date,shots,goals,assists,points,blocks,saves,toi_sec
Buffalo Sabres,8475722,0,Jason Zucker,New York Islanders,Buffalo Sabres,2026-01-24,0.0,0.0,0.1716,0.1716,0.0,0.0,0.0
Buffalo Sabres,8475722,1,Jason Zucker,New York Islanders,Buffalo Sabres,2026-01-24,0.0,0.0,0.0542,0.0542,0.0,0.0,0.0
Buffalo Sabres,8475722,2,Jason Zucker,New York Islanders,Buffalo Sabres,2026-01-24,0.0,0.0,0.0534,0.0534,0.0,0.0,0.0
Buffalo Sabres,8475722,3,Jason Zucker,New York Islanders,Buffalo Sabres,2026-01-24,0.0,0.0,0.064,0.064,0.0,0.0,0.0
Buffalo Sabres,8477949,0,Alex Tuch,New York Islanders,Buffalo Sabres,2026-01-24,0.0,0.0,0.1758,0.1758,0.0,0.0,0.0
Buffalo Sabres,8477949,1,Alex Tuch,New York Islanders,Buffalo Sabres,2026-01-24,0.0,0.0,0.0564,0.0564,0.0,0.0,0.0
Buffalo Sabres,8477949,2,Alex Tuch,New York Islanders,Buffalo Sabres,2026-01-24,0.0,0.0,0.0556,0.0556,0.0,0.0,0.0
Buffalo Sabres,8477949,3,Alex Tuch,New York Islanders,Buffalo Sabres,2026-01-24,0.0,0.0,0.0638,0.0638,0.0,0.0,0.0
Buffalo Sabres,8478413,0,Jordan Greenway,New York Islanders,Buffalo Sabres,2026-01-24,4.389,0.4382,0.1364,0.5746,0.0,0.0,3600.0
Buffalo Sabres,8478413,1,Jordan Greenway,New York Islanders,Buffalo Sabres,2026-01-24,1.4354,0.1338,0.0428,0.1766,0.0,0.0,1200.0
Buffalo Sabres,8478413,2,Jordan Greenway,New York Islanders,Buffalo Sabres,2026-01-24,1.4568,0.1412,0.0464,0.1876,0.0,0.0,1200.0
Buffalo Sabres,8478413,3,Jordan Greenway,New York Islanders,Buffalo Sabres,2026-01-24,1.4968,0.1632,0.0472,0.2104,0.0,0.0,1200.0
Buffalo Sabres,8479359,0,Beck Malenstyn,New York Islanders,Buffalo Sabres,2026-01-24,0.0,0.0,0.1696,0.1696,0.0,0.0,0.0
Buffalo Sabres,8479359,1,Beck Malenstyn,New York Islanders,Buffalo Sabres,2026-01-24,0.0,0.0,0.0542,0.0542,0.0,0.0,0.0
Buffalo Sabres,8479359,2,Beck Malenstyn,New York Islanders,Buffalo Sabres,2026-01-24,0.0,0.0,0.0582,0.0582,0.0,0.0,0.0
Buffalo Sabres,8479359,3,Beck Malenstyn,New York Islanders,Buffalo Sabres,2026-01-24,0.0,0.0,0.0572,0.0572,0.0,0.0,0.0
Buffalo Sabres,8479420,0,Tage Thompson,New York Islanders,Buffalo Sabres,2026-01-24,0.0,0.0,0.1722,0.1722,0.0,0.0,0.0
Buffalo Sabres,8479420,1,Tage Thompson,New York Islanders,Buffalo Sabres,2026-01-24,0.0,0.0,0.0558,0.0558,0.0,0.0,0.0
Buffalo Sabres,8479420,2,Tage Thompson,New York Islanders,Buffalo Sabres,2026-01-24,0.0,0.0,0.0578,0.0578,0.0,0.0,0.0
