gamePk,date,team,player_id,full_name,position,shots,goals,saves,blocks
2025020918,2026-02-26,Boston Bruins,8478042,Viktor Arvidsson,F,3,0,0,0
2025020918,2026-02-26,Boston Bruins,8479591,Michael Eyssimont,F,2,0,0,0
2025020918,2026-02-26,Boston Bruins,8479987,Morgan Geekie,F,2,0,0,1
2025020918,2026-02-26,Boston Bruins,8479661,Tanner Jeannot,F,2,0,0,1
2025020918,2026-02-26,Boston Bruins,8480355,Mark Kastelic,F,0,0,0,2
2025020918,2026-02-26,Boston Bruins,8482177,Marat Khusnutdinov,F,2,0,0,0
2025020918,2026-02-26,Boston Bruins,8476374,Sean Kuraly,F,2,0,0,0
2025020918,2026-02-26,Boston Bruins,8477496,Elias Lindholm,F,3,2,0,0
2025020918,2026-02-26,Boston Bruins,8483489,Fraser Minten,F,1,0,0,0
2025020918,2026-02-26,Boston Bruins,8479999,Casey Mittelstadt,F,0,0,0,0
2025020918,2026-02-26,Boston Bruins,8477956,David Pastrnak,F,0,0,0,1
2025020918,2026-02-26,Boston Bruins,8482117,Lukas Reichel,F,1,0,0,0
2025020918,2026-02-26,Boston Bruins,8482634,Alex Steeves,F,0,0,0,0
2025020918,2026-02-26,Boston Bruins,8478401,Pavel Zacha,F,0,0,0,0
2025020918,2026-02-26,Boston Bruins,8481219,Jonathan Aspirot,D,2,0,0,2
2025020918,2026-02-26,Boston Bruins,8480887,Jordan Harris,D,2,0,0,1
2025020918,2026-02-26,Boston Bruins,8480035,Henri Jokiharju,D,2,1,0,1
2025020918,2026-02-26,Boston Bruins,8476854,Hampus Lindholm,D,0,0,0,2
2025020918,2026-02-26,Boston Bruins,8482511,Mason Lohrei,D,5,0,0,1
2025020918,2026-02-26,Boston Bruins,8479325,Charlie McAvoy,D,4,0,0,1
2025020918,2026-02-26,Boston Bruins,8479369,Andrew Peeke,D,2,0,0,1
2025020918,2026-02-26,Boston Bruins,8477507,Nikita Zadorov,D,0,0,0,0
2025020918,2026-02-26,Boston Bruins,8476914,Joonas Korpisalo,G,0,0,26,0
2025020918,2026-02-26,Boston Bruins,8480280,Jeremy Swayman,G,0,0,0,0
2025020918,2026-02-26,Columbus Blue Jackets,8475745,Charlie Coyle,F,4,0,0,2
2025020918,2026-02-26,Columbus Blue Jackets,8484166,Adam Fantilli,F,1,0,0,0
2025020918,2026-02-26,Columbus Blue Jackets,8478856,Conor Garland,F,3,0,0,0
2025020918,2026-02-26,Columbus Blue Jackets,8478046,Danton Heinen,F,2,0,0,1
2025020918,2026-02-26,Columbus Blue Jackets,8476432,Boone Jenner,F,1,0,0,1
2025020918,2026-02-26,Columbus Blue Jackets,8482660,Kent Johnson,F,2,0,0,1
2025020918,2026-02-26,Columbus Blue Jackets,8480806,Isac Lundeström,F,0,0,0,0
2025020918,2026-02-26,Columbus Blue Jackets,8480893,Kirill Marchenko,F,2,0,0,0
2025020918,2026-02-26,Columbus Blue Jackets,8478975,Mason Marchment,F,0,0,0,1
2025020918,2026-02-26,Columbus Blue Jackets,8477497,Sean Monahan,F,1,0,0,0
2025020918,2026-02-26,Columbus Blue Jackets,8479671,Mathieu Olivier,F,1,0,0,1
2025020918,2026-02-26,Columbus Blue Jackets,8482705,Cole Sillinger,F,1,0,0,0
2025020918,2026-02-26,Columbus Blue Jackets,8481716,Dmitri Voronkov,F,1,0,0,3
2025020918,2026-02-26,Columbus Blue Jackets,8477425,Miles Wood,F,0,0,0,0
2025020918,2026-02-26,Columbus Blue Jackets,8481161,Jake Christiansen,D,0,0,0,1
2025020918,2026-02-26,Columbus Blue Jackets,8479371,Dante Fabbro,D,0,0,0,0
2025020918,2026-02-26,Columbus Blue Jackets,8475790,Erik Gudbranson,D,2,0,0,0
2025020918,2026-02-26,Columbus Blue Jackets,8483485,Denton Mateychuk,D,2,0,0,1
2025020918,2026-02-26,Columbus Blue Jackets,8478500,Ivan Provorov,D,0,0,0,1
2025020918,2026-02-26,Columbus Blue Jackets,8476923,Damon Severson,D,1,0,0,2
2025020918,2026-02-26,Columbus Blue Jackets,8474090,Brendan Smith,D,0,0,0,2
2025020918,2026-02-26,Columbus Blue Jackets,8478460,Zach Werenski,D,2,0,0,0
2025020918,2026-02-26,Columbus Blue Jackets,8481178,Egor Zamula,D,0,0,0,0
2025020918,2026-02-26,Columbus Blue Jackets,8482982,Jet Greaves,G,0,0,32,0
2025020918,2026-02-26,Columbus Blue Jackets,8478007,Elvis Merzlikins,G,0,0,0,0
2025020919,2026-02-26,Montréal Canadiens,8476981,Josh Anderson,F,1,0,0,2
2025020919,2026-02-26,Montréal Canadiens,8482737,Zachary Bolduc,F,2,0,0,3
