player,position,team
Alex Ovechkin,F,WSH
John Tavares,F,TOR
Oliver Ekman-Larsson,F,TOR
Dmitry Orlov,F,SJS
Mattias Ekholm,F,EDM
Jason Zucker,F,BUF
Tyler Toffoli,F,SJS
Vincent Trocheck,F,NYR
Ryan Nugent-Hopkins,F,EDM
Mika Zibanejad,F,NYR
J.T. Miller,F,NYR
Morgan Rielly,F,TOR
Tom Wilson,F,WSH
Darnell Nurse,F,EDM
Max Domi,F,TOR
Alex Wennberg,F,SJS
Alexander Wennberg,F,SJS
William Nylander,F,TOR
Alex Tuch,F,BUF
Kasperi Kapanen,F,EDM
Jake Walman,F,EDM
Connor McDavid,F,EDM
Dylan Strome,F,WSH
Jack Roslovic,F,EDM
Anthony Beauvillier,F,WSH
Vladislav Gavrikov,F,NYR
Adam Fox,F,NYR
Jakob Chychrun,F,WSH
Pierre-Luc Dubois,F,WSH
Tage Thompson,F,BUF
Josh Norris,F,BUF
Kiefer Sherwood,F,SJS
Ryan McLeod,F,BUF
Evan Bouchard,F,EDM
Mattias Samuelsson,F,BUF
Rasmus Dahlin,F,BUF
Rasmus Sandin,F,WSH
Peyton Krebs,F,BUF
Bowen Byram,F,BUF
Connor McMichael,F,WSH
Nicholas Robertson,F,TOR
Vasily Podkolzin,F,EDM
Aliaksei Protas,F,WSH
Matias Maccelli,F,TOR
Jack Quinn,F,BUF
Alexis Lafrenière,F,NYR
Will Cuylle,F,NYR
Josh Doan,F,BUF
William Eklund,F,SJS
Owen Power,F,BUF
Matthew Knies,F,TOR
Matt Savoie,F,EDM
Zach Benson,F,BUF
Easton Cowan,F,TOR
Ryan Leonard,F,WSH
Gabe Perreault,F,NYR
Will Smith,F,SJS
Macklin Celebrini,F,SJS
Cole Hutson,F,WSH
Collin Graf,F,SJS
Igor Chernyshov,F,SJS
