date,home,away,market,bet,price,model_prob,ev,edge,book,result
2025-10-04T00:00:00Z,Chicago Blackhawks,Minnesota Wild,moneyline,home_ml,145.0,0.8364667202159722,1.0493,0.4457,bovada,
2025-10-04T02:00:00Z,Vancouver Canucks,Edmonton Oilers,moneyline,home_ml,110.0,0.7819410865918052,0.6421,0.3247,bovada,
2025-10-04T00:00:00Z,Chicago Blackhawks,Minnesota Wild,totals,under,-110.0,0.6460443444198972,0.3567,0.1888,,
2025-10-04T01:00:00Z,Calgary Flames,Winnipeg Jets,puckline,away_pl_+1.5,-110.0,0.7072659133286037,0.35023492544551615,,,
2025-10-03T23:00:00Z,Pittsburgh Penguins,Buffalo Sabres,moneyline,home_ml,-105.0,0.6859152909731875,0.3392,0.1967,bovada,
2025-10-04T01:00:00Z,Calgary Flames,Winnipeg Jets,totals,under,-110.0,0.6537077251079323,0.3074,0.1754,,
2025-10-04T02:00:00Z,Vegas Golden Knights,San Jose Sharks,totals,under,-110.0,0.724890519466737,0.2427,0.1685,,
2025-10-04T01:00:00Z,Calgary Flames,Winnipeg Jets,moneyline,home_ml,110.0,0.5632777156684841,0.1829,0.106,bovada,
2025-10-04T00:00:00Z,Chicago Blackhawks,Minnesota Wild,puckline,home_pl_-1.5,-110.0,0.6084534891362819,0.16159302471472015,,,
2025-10-04T02:00:00Z,Vancouver Canucks,Edmonton Oilers,totals,under,-110.0,0.5621342023711782,0.1524,0.0946,,
2025-10-03T23:00:00Z,Pittsburgh Penguins,Buffalo Sabres,totals,over,-130.0,0.6019228202725094,0.0649,0.0592,bovada,
2025-10-03T23:00:00Z,Pittsburgh Penguins,Buffalo Sabres,puckline,away_pl_+1.5,-110.0,0.5480615354016856,0.04629929485776341,,,
2025-10-04T02:00:00Z,Vegas Golden Knights,San Jose Sharks,moneyline,home_ml,-285.0,0.7744172640775366,0.0461,0.068,bovada,
2025-10-04T02:00:00Z,Vancouver Canucks,Edmonton Oilers,puckline,home_pl_-1.5,-110.0,0.5452282165436635,0.04089023158335764,,,
