date,player,team,opp,market,line,book,over_price,under_price,proj_lambda,p_over,side,ev,chosen_prob,source,team_norm,player_norm
2026-02-27,Leo Carlsson,ANA,,GOALS,0.5,fanduel,230.0,-320.0,0.112,0.101688,Under,0.1790344999999999,0.898312,ev,ANA,leo carlsson
2026-02-27,Josh Norris,BUF,,GOALS,0.5,fanduel,250.0,-380.0,0.1806,0.15875,Under,0.0626315789473684,0.84125,ev,BUF,josh norris
2026-02-27,Aaron Ekblad,FLA,,ASSISTS,0.5,betmgm,200.0,-275.0,0.3362,0.257312,Under,0.0127563636363637,0.742688,ev,FLA,aaron ekblad
2026-02-27,Aaron Ekblad,FLA,,POINTS,0.5,betmgm,155.0,-210.0,0.3071,0.234,Under,0.1307619047619048,0.766,ev,FLA,aaron ekblad
2026-02-27,Brad Marchand,FLA,,ASSISTS,0.5,pinnacle,157.0,-214.0,0.4011,0.282938,Under,0.0521377009345794,0.717062,ev,FLA,brad marchand
2026-02-27,Brad Marchand,FLA,,POINTS,0.5,pinnacle,-135.0,102.0,0.6003,0.383562,Under,0.2452047600000001,0.616438,ev,FLA,brad marchand
2026-02-27,Carter Verhaeghe,FLA,,GOALS,0.5,fanduel,250.0,-360.0,0.2025,0.169375,Under,0.0613541666666665,0.830625,ev,FLA,carter verhaeghe
2026-02-27,Carter Verhaeghe,FLA,,POINTS,0.5,pinnacle,-128.0,-103.0,0.6322,0.393437,Under,0.1954591165048542,0.606563,ev,FLA,carter verhaeghe
2026-02-27,Evan Rodrigues,FLA,,POINTS,0.5,betmgm,110.0,-150.0,0.3504,0.265875,Under,0.2235416666666665,0.734125,ev,FLA,evan rodrigues
2026-02-27,Mackie Samoskevich,FLA,,ASSISTS,0.5,betmgm,275.0,-400.0,0.0,0.0,Under,0.25,1.0,ev,FLA,mackie samoskevich
2026-02-27,Mackie Samoskevich,FLA,,POINTS,0.5,betmgm,150.0,-200.0,0.2179,0.176875,Under,0.2346875,0.823125,ev,FLA,mackie samoskevich
2026-02-27,Matthew Tkachuk,FLA,,ASSISTS,0.5,pinnacle,-119.0,-112.0,0.5074,0.341875,Under,0.2457366071428572,0.6581250000000001,ev,FLA,matthew tkachuk
2026-02-27,Sam Bennett,FLA,,ASSISTS,0.5,betmgm,140.0,-190.0,0.3029,0.23525,Under,0.1672499999999999,0.76475,ev,FLA,sam bennett
2026-02-27,Sam Bennett,FLA,,GOALS,0.5,fanduel,290.0,-440.0,0.0,0.0,Under,0.2272727272727273,1.0,ev,FLA,sam bennett
2026-02-27,Sam Bennett,FLA,,POINTS,0.5,pinnacle,-170.0,127.0,0.3205,0.24575,Under,0.7121474999999999,0.75425,ev,FLA,sam bennett
2026-02-27,Sam Reinhart,FLA,,ASSISTS,0.5,pinnacle,112.0,-149.0,0.593,0.37675,Under,0.0415385906040269,0.6232500000000001,ev,FLA,sam reinhart
2026-02-27,Sam Reinhart,FLA,,GOALS,0.5,fanduel,155.0,-210.0,0.2132,0.177687,Under,0.213890619047619,0.822313,ev,FLA,sam reinhart
2026-02-27,Clayton Keller,UTA,,GOALS,0.5,fanduel,210.0,-290.0,0.045,0.044687,Under,0.2847312758620689,0.955313,ev,UTA,clayton keller
2026-02-27,Tomas Hertl,VGK,,GOALS,0.5,fanduel,250.0,-360.0,0.0972,0.085812,Under,0.168129111111111,0.914188,ev,VGK,tomas hertl
2026-02-27,Kyle Connor,WPG,,GOALS,0.5,fanduel,160.0,-220.0,0.3079,0.242063,Under,0.1024538181818181,0.757937,ev,WPG,kyle connor
2026-02-27,Alex Ovechkin,WSH,,GOALS,0.5,fanduel,180.0,-250.0,0.1829,0.155312,Under,0.1825631999999999,0.844688,ev,WSH,alex ovechkin
2026-02-27,Alex Ovechkin,WSH,VGK,BLOCKS,3.5,,,,0.0921,3.7e-05,Under,,0.999963,nolines,WSH,alex ovechkin
2026-02-27,Chris Kreider,ANA,WPG,BLOCKS,3.5,,,,0.0993,4.9e-05,Under,,0.999951,nolines,ANA,chris kreider
2026-02-27,Brad Marchand,FLA,BUF,BLOCKS,3.5,,,,0.1006,5e-05,Under,,0.99995,nolines,FLA,brad marchand
2026-02-27,Matt Boldy,MIN,UTA,BLOCKS,3.5,,,,0.1006,5.2e-05,Under,,0.999948,nolines,MIN,matt boldy
2026-02-27,Kyle Connor,WPG,ANA,BLOCKS,3.5,,,,0.135,0.000155,Under,,0.999845,nolines,WPG,kyle connor
2026-02-27,Pavel Dorofeyev,VGK,WSH,BLOCKS,3.5,,,,0.1689,0.000337,Under,,0.999663,nolines,VGK,pavel dorofeyev
2026-02-27,Beckett Sennecke,ANA,WPG,BLOCKS,3.5,,,,0.1744,0.000367,Under,,0.999633,nolines,ANA,beckett sennecke
2026-02-27,Carter Verhaeghe,FLA,BUF,BLOCKS,3.5,,,,0.177,0.00038,Under,,0.99962,nolines,FLA,carter verhaeghe
2026-02-27,Kirill Kaprizov,MIN,UTA,BLOCKS,3.5,,,,0.1774,0.000394,Under,,0.999606,nolines,MIN,kirill kaprizov
2026-02-27,Alex Ovechkin,WSH,VGK,BLOCKS,2.5,,,,0.0921,0.000488,Under,,0.999512,nolines,WSH,alex ovechkin
2026-02-27,Chris Kreider,ANA,WPG,BLOCKS,2.5,,,,0.0993,0.00061,Under,,0.99939,nolines,ANA,chris kreider
2026-02-27,Brad Marchand,FLA,BUF,BLOCKS,2.5,,,,0.1006,0.000626,Under,,0.999374,nolines,FLA,brad marchand
