market,player,team,line,over_price,under_price,proj_lambda,p_over,ev_over,book
SAVES,Total Saves,,23.5,-110,-120,25.0,0.6061244829117162,0.1571467401041855,bovada
SAVES,Total Saves,,24.5,-105,-125,25.0,0.5266015314436506,0.028126799485222675,bovada
GOALS,Brad Marchand,,0.5,285,-415,0.3,0.25918177931828207,-0.0021501496246140173,fliff
BLOCKS,1.5,,1.5,125,-165,1.5,0.4421745996289252,-0.005107150834918306,bovada
SOG,Total Shots On Goal,,1.5,-190,145,2.0,0.5939941502901616,-0.0933773495571219,bovada
SAVES,Total Saves,,25.5,-110,-120,25.0,0.4470785799755852,-0.1464863473193373,bovada
GOALS,Sam Bennett,,0.5,210,-295,0.3,0.25918177931828207,-0.19653648411332558,fliff
GOALS,Sam Reinhart,,0.5,160,-220,0.3,0.25918177931828207,-0.32612737377246664,fliff
SOG,Total Shots On Goal,,2.5,-130,100,2.0,0.32332358381693654,-0.42796596709311224,bovada
SOG,Total Shots On Goal,,3.5,-110,-120,2.0,0.14287653950145296,-0.7272356973154079,bovada
