player,position,team
Jordan Eberle,F,SEA
Brayden Schenn,F,STL
Justin Faulk,F,STL
Cam Fowler,F,STL
Teuvo Teravainen,F,CHI
Chandler Stephenson,F,SEA
Nate Schmidt,F,UTA
Pavel Buchnevich,F,STL
Andre Burakovsky,F,CHI
Tyler Bertuzzi,F,CHI
Nick Schmaltz,F,UTA
Brandon Montour,F,SEA
Ryan Donato,F,CHI
Vince Dunn,F,SEA
Lawson Crouse,F,UTA
Mason Marchment,F,SEA
Clayton Keller,F,UTA
Mikhail Sergachev,F,UTA
Michael Carcone,F,UTA
Eeli Tolvanen,F,SEA
Robert Thomas,F,STL
Pius Suter,F,STL
Barrett Hayton,F,UTA
Kaapo Kakko,F,SEA
Ilya Mikheyev,F,CHI
Dylan Holloway,F,STL
Jake Neighbours,F,STL
JJ Peterka,F,UTA
Matty Beniers,F,SEA
Dylan Guenther,F,UTA
Frank Nazar,F,CHI
Shane Wright,F,SEA
Connor Bedard,F,CHI
Daniil But,F,UTA
Artyom Levshunov,F,CHI
