date,player,team,position,market,proj_lambda
2025-10-23,D. Heatherington,ANA,D,ASSISTS,0.45
2025-10-23,D. Heatherington,ANA,D,BLOCKS,1.3
2025-10-23,D. Heatherington,ANA,D,GOALS,0.35
2025-10-23,D. Heatherington,ANA,D,POINTS,0.9
2025-10-23,D. Heatherington,ANA,D,SOG,2.4
2025-10-23,D. Helleson,ANA,D,ASSISTS,0.3523276746273041
2025-10-23,D. Helleson,ANA,D,BLOCKS,1.0248464345932007
2025-10-23,D. Helleson,ANA,D,GOALS,0.24530425667762756
2025-10-23,D. Helleson,ANA,D,POINTS,0.5741226673126221
2025-10-23,D. Helleson,ANA,D,SOG,2.0108237266540527
2025-10-23,G. Lindstrom,ANA,D,ASSISTS,0.21534810960292816
2025-10-23,G. Lindstrom,ANA,D,BLOCKS,0.9778825044631958
2025-10-23,G. Lindstrom,ANA,D,GOALS,5.2131039410596713e-05
2025-10-23,G. Lindstrom,ANA,D,POINTS,0.07500436902046204
2025-10-23,G. Lindstrom,ANA,D,SOG,1.5970404148101807
2025-10-23,I. Moore,ANA,D,ASSISTS,0.45
2025-10-23,I. Moore,ANA,D,BLOCKS,1.3
2025-10-23,I. Moore,ANA,D,GOALS,0.35
2025-10-23,I. Moore,ANA,D,POINTS,0.9
2025-10-23,I. Moore,ANA,D,SOG,2.4
2025-10-23,J. LaCombe,ANA,D,ASSISTS,0.6909874677658081
2025-10-23,J. LaCombe,ANA,D,BLOCKS,1.4408165216445923
2025-10-23,J. LaCombe,ANA,D,GOALS,6.305606916612305e-07
2025-10-23,J. LaCombe,ANA,D,POINTS,0.8825219869613647
2025-10-23,J. LaCombe,ANA,D,SOG,2.0978667736053467
2025-10-23,J. Trouba,ANA,D,ASSISTS,0.0001962166716111824
2025-10-23,J. Trouba,ANA,D,BLOCKS,1.3500572443008423
2025-10-23,J. Trouba,ANA,D,GOALS,5.2131039410596713e-05
2025-10-23,J. Trouba,ANA,D,POINTS,0.004458931274712086
2025-10-23,J. Trouba,ANA,D,SOG,1.4670641422271729
2025-10-23,K. Smith,ANA,D,ASSISTS,0.45
2025-10-23,K. Smith,ANA,D,BLOCKS,1.3
2025-10-23,K. Smith,ANA,D,GOALS,0.35
2025-10-23,K. Smith,ANA,D,POINTS,0.9
2025-10-23,K. Smith,ANA,D,SOG,2.4
2025-10-23,L. Profaca,ANA,D,ASSISTS,0.45
2025-10-23,L. Profaca,ANA,D,BLOCKS,1.3
2025-10-23,L. Profaca,ANA,D,GOALS,0.35
2025-10-23,L. Profaca,ANA,D,POINTS,0.9
2025-10-23,L. Profaca,ANA,D,SOG,2.4
2025-10-23,M. Pysyk,ANA,D,ASSISTS,0.45
2025-10-23,M. Pysyk,ANA,D,BLOCKS,1.3
2025-10-23,M. Pysyk,ANA,D,GOALS,0.35
2025-10-23,M. Pysyk,ANA,D,POINTS,0.9
2025-10-23,M. Pysyk,ANA,D,SOG,2.4
2025-10-23,N. Warren,ANA,D,ASSISTS,0.45
2025-10-23,N. Warren,ANA,D,BLOCKS,1.3
2025-10-23,N. Warren,ANA,D,GOALS,0.35
2025-10-23,N. Warren,ANA,D,POINTS,0.9
2025-10-23,N. Warren,ANA,D,SOG,2.4
2025-10-23,N. Wolff,ANA,D,ASSISTS,0.45
2025-10-23,N. Wolff,ANA,D,BLOCKS,1.3
2025-10-23,N. Wolff,ANA,D,GOALS,0.35
2025-10-23,N. Wolff,ANA,D,POINTS,0.9
2025-10-23,N. Wolff,ANA,D,SOG,2.4
