gamePk,date,home,away,home_goals_sim,away_goals_sim
2025020640,2026-01-02,St. Louis Blues,Vegas Golden Knights,4,7
2025020641,2026-01-02,Florida Panthers,New York Rangers,0,3
2025020642,2026-01-02,Vancouver Canucks,Seattle Kraken,5,4
2025020643,2026-01-02,Anaheim Ducks,Minnesota Wild,1,1
