date,player,team,market,line,p_over,over_price,under_price,book,side,ev,chosen_prob
2026-02-03,Alex Tuch,BUF,ASSISTS,0.5,0.13288127527956223,155,-204,draftkings,Under,0.2921769231128092,0.8671187247204377
2026-02-03,Alex Tuch,BUF,GOALS,0.5,0.21127765881513205,230,-320,fanduel,Under,0.035198072805139174,0.788722341184868
2026-02-03,Alex Tuch,BUF,POINTS,0.5,0.3034737092552938,-155,115,betmgm,Under,0.4975315251011182,0.6965262907447062
2026-02-03,Bowen Byram,BUF,ASSISTS,0.5,0.6767578125,257,-375,pinnacle,Over,1.416025390625,0.6767578125
2026-02-03,Bowen Byram,BUF,POINTS,0.5,0.677734375,194,-269,pinnacle,Over,0.9925390624999999,0.677734375
2026-02-03,Jack Quinn,BUF,ASSISTS,0.5,0.671507260891337,177,-243,pinnacle,Over,0.8600751126690036,0.671507260891337
2026-02-03,Jack Quinn,BUF,POINTS,0.5,0.685027541311968,-115,-115,draftkings,Over,0.28070366419194004,0.685027541311968
2026-02-03,Jack Quinn,BUF,SOG,1.5,0.013019529293940912,-220,155,pinnacle,Under,1.5168002003004504,0.9869804707060591
2026-02-03,Jason Zucker,BUF,ASSISTS,0.5,0.14204139900071378,185,-250,betmgm,Under,0.20114204139900066,0.8579586009992862
2026-02-03,Jason Zucker,BUF,POINTS,0.5,0.28122769450392576,-110,-120,draftkings,Under,0.3177492267428028,0.7187723054960742
2026-02-03,Josh Doan,BUF,ASSISTS,0.5,1.0,231,-330,pinnacle,Over,2.31,1.0
2026-02-03,Josh Doan,BUF,POINTS,0.5,1.0,120,-154,draftkings,Over,1.2000000000000002,1.0
2026-02-03,Josh Doan,BUF,SOG,1.5,0.0,-130,100,fanduel,Under,1.0,1.0
2026-02-03,Mattias Samuelsson,BUF,ASSISTS,0.5,0.15944788196097096,230,-320,draftkings,Under,0.10322465492622568,0.8405521180390291
2026-02-03,Mattias Samuelsson,BUF,POINTS,0.5,0.202284626368396,195,-265,draftkings,Under,0.09874004292654892,0.797715373631604
2026-02-03,Owen Power,BUF,ASSISTS,0.5,0.6674780915287244,274,-406,pinnacle,Over,1.4963680623174294,0.6674780915287244
2026-02-03,Owen Power,BUF,POINTS,0.5,0.676728334956183,200,-279,pinnacle,Over,1.030185004868549,0.676728334956183
2026-02-03,Rasmus Dahlin,BUF,ASSISTS,0.5,0.10164700098328416,-103,-130,pinnacle,Under,0.5893937674911126,0.8983529990167158
2026-02-03,Ryan McLeod,BUF,ASSISTS,0.5,0.151713469776297,170,-225,draftkings,Under,0.22530276587868214,0.848286530223703
2026-02-03,Ryan McLeod,BUF,POINTS,0.5,0.24393146120894812,110,-147,pinnacle,Under,0.2704008781046925,0.7560685387910518
2026-02-03,Tage Thompson,BUF,ASSISTS,0.5,0.14926289926289926,115,-148,draftkings,Under,0.4255594661000066,0.8507371007371007
2026-02-03,Tage Thompson,BUF,GOALS,0.5,0.20073710073710074,150,-210,fanduel,Under,0.17986427986427994,0.7992628992628993
2026-02-03,Tage Thompson,BUF,POINTS,0.5,0.31523341523341525,-242,176,pinnacle,Under,0.8899557739557735,0.6847665847665847
2026-02-03,Tage Thompson,BUF,SOG,3.5,0.3046683046683047,136,-182,fanduel,Under,0.07738207738207731,0.6953316953316953
2026-02-03,Zach Benson,BUF,ASSISTS,0.5,0.6566113624937154,201,-281,pinnacle,Over,0.9764002011060834,0.6566113624937154
2026-02-03,Zach Benson,BUF,POINTS,0.5,0.6641528406234288,115,-153,pinnacle,Over,0.42792860734037197,0.6641528406234288
2026-02-03,Zach Benson,BUF,SOG,1.5,0.007038712921065862,-105,-125,draftkings,Under,0.7873303167420815,0.9929612870789342
2026-02-03,Anders Lee,NYI,ASSISTS,0.5,0.1540659602333611,270,-385,draftkings,Under,0.0656571669787529,0.8459340397666388
2026-02-03,Anders Lee,NYI,GOALS,0.5,0.08715323252768187,310,-470,fanduel,Under,0.10706948395579022,0.9128467674723182
2026-02-03,Anders Lee,NYI,POINTS,0.5,0.22347898559352303,145,-188,draftkings,Under,0.18956410717587951,0.7765210144064769
2026-02-03,Anthony Duclair,NYI,ASSISTS,0.5,0.055720919157042505,280,-400,betmgm,Under,0.1803488510536969,0.9442790808429575
2026-02-03,Bo Horvat,NYI,ASSISTS,0.5,0.13985419198055893,155,-210,betmgm,Under,0.2697390499334607,0.8601458080194411
2026-02-03,Bo Horvat,NYI,GOALS,0.5,0.18918590522478737,170,-240,fanduel,Under,0.14865330093155127,0.8108140947752126
2026-02-03,Bo Horvat,NYI,POINTS,0.5,0.29307411907654923,-154,120,draftkings,Under,0.5552369380315918,0.7069258809234508
