date,player_id,player_name,team,market,line,over_price,under_price,book,first_seen_at,last_seen_at,is_current
2025-12-08,8470621.0,Corey Perry,LAK,ASSISTS,0.5,270,-385,draftkings,2025-12-08T19:07:42.038899Z,2025-12-08T19:07:42.148620Z,True
2025-12-08,8470621.0,Corey Perry,LAK,ASSISTS,0.5,299,-453,pinnacle,2025-12-08T19:07:42.038899Z,2025-12-08T19:07:42.148620Z,True
2025-12-08,8470621.0,Corey Perry,LAK,POINTS,0.5,160,-212,draftkings,2025-12-08T19:07:42.038899Z,2025-12-08T19:07:42.148620Z,True
2025-12-08,8470621.0,Corey Perry,LAK,POINTS,0.5,164,-224,pinnacle,2025-12-08T19:07:42.038899Z,2025-12-08T19:07:42.148620Z,True
2025-12-08,8471685.0,Anze Kopitar,LAK,ASSISTS,0.5,155,-204,draftkings,2025-12-08T19:07:42.038899Z,2025-12-08T19:07:42.148620Z,True
2025-12-08,8471685.0,Anze Kopitar,LAK,ASSISTS,0.5,146,-197,pinnacle,2025-12-08T19:07:42.038899Z,2025-12-08T19:07:42.148620Z,True
2025-12-08,8471685.0,Anze Kopitar,LAK,GOALS,0.5,330,-500,fanduel,2025-12-08T19:07:42.038899Z,2025-12-08T19:07:42.148620Z,True
2025-12-08,8471685.0,Anze Kopitar,LAK,POINTS,0.5,-110,-120,draftkings,2025-12-08T19:07:42.038899Z,2025-12-08T19:07:42.148620Z,True
2025-12-08,8471685.0,Anze Kopitar,LAK,POINTS,0.5,-119,-111,pinnacle,2025-12-08T19:07:42.038899Z,2025-12-08T19:07:42.148620Z,True
2025-12-08,8474141.0,Patrick Kane,DET,ASSISTS,0.5,135,-175,draftkings,2025-12-08T19:07:42.097694Z,2025-12-08T19:07:42.148620Z,True
2025-12-08,8474141.0,Patrick Kane,DET,ASSISTS,0.5,134,-180,pinnacle,2025-12-08T19:07:42.097694Z,2025-12-08T19:07:42.148620Z,True
2025-12-08,8474141.0,Patrick Kane,DET,POINTS,0.5,-142,110,draftkings,2025-12-08T19:07:42.097694Z,2025-12-08T19:07:42.148620Z,True
2025-12-08,8474141.0,Patrick Kane,DET,POINTS,0.5,-147,111,pinnacle,2025-12-08T19:07:42.097694Z,2025-12-08T19:07:42.148620Z,True
2025-12-08,8474141.0,Patrick Kane,DET,SOG,2.5,115,-148,draftkings,2025-12-08T19:07:42.097694Z,2025-12-08T19:07:42.148620Z,True
2025-12-08,8474141.0,Patrick Kane,DET,SOG,2.5,114,-148,fanduel,2025-12-08T19:07:42.097694Z,2025-12-08T19:07:42.148620Z,True
2025-12-08,8474141.0,Patrick Kane,DET,SOG,2.5,112,-149,pinnacle,2025-12-08T19:07:42.097694Z,2025-12-08T19:07:42.148620Z,True
2025-12-08,8474150.0,Mikael Backlund,CGY,ASSISTS,0.5,230,-320,draftkings,2025-12-08T19:07:42.025810Z,2025-12-08T19:07:42.148620Z,True
2025-12-08,8474150.0,Mikael Backlund,CGY,ASSISTS,0.5,255,-372,pinnacle,2025-12-08T19:07:42.025810Z,2025-12-08T19:07:42.148620Z,True
2025-12-08,8474150.0,Mikael Backlund,CGY,POINTS,0.5,130,-168,draftkings,2025-12-08T19:07:42.025810Z,2025-12-08T19:07:42.148620Z,True
2025-12-08,8474150.0,Mikael Backlund,CGY,POINTS,0.5,133,-178,pinnacle,2025-12-08T19:07:42.025810Z,2025-12-08T19:07:42.148620Z,True
2025-12-08,8474150.0,Mikael Backlund,CGY,SOG,1.5,-198,150,draftkings,2025-12-08T19:07:42.025810Z,2025-12-08T19:07:42.148620Z,True
2025-12-08,8474150.0,Mikael Backlund,CGY,SOG,1.5,-190,144,fanduel,2025-12-08T19:07:42.025810Z,2025-12-08T19:07:42.148620Z,True
2025-12-08,8474150.0,Mikael Backlund,CGY,SOG,1.5,-205,152,pinnacle,2025-12-08T19:07:42.025810Z,2025-12-08T19:07:42.148620Z,True
2025-12-08,8474563.0,Drew Doughty,LAK,ASSISTS,0.5,205,-288,pinnacle,2025-12-08T19:07:42.038899Z,2025-12-08T19:07:42.148620Z,True
2025-12-08,8474563.0,Drew Doughty,LAK,POINTS,0.5,164,-224,pinnacle,2025-12-08T19:07:42.038899Z,2025-12-08T19:07:42.148620Z,True
2025-12-08,8474586.0,Jordan Eberle,SEA,ASSISTS,0.5,170,-225,draftkings,2025-12-08T19:07:42.064567Z,2025-12-08T19:07:42.148620Z,True
2025-12-08,8474586.0,Jordan Eberle,SEA,ASSISTS,0.5,174,-239,pinnacle,2025-12-08T19:07:42.064567Z,2025-12-08T19:07:42.148620Z,True
2025-12-08,8474586.0,Jordan Eberle,SEA,GOALS,0.5,260,-400,fanduel,2025-12-08T19:07:42.064567Z,2025-12-08T19:07:42.148620Z,True
2025-12-08,8474586.0,Jordan Eberle,SEA,POINTS,0.5,-120,-110,draftkings,2025-12-08T19:07:42.064567Z,2025-12-08T19:07:42.148620Z,True
2025-12-08,8474586.0,Jordan Eberle,SEA,POINTS,0.5,-121,-109,pinnacle,2025-12-08T19:07:42.064567Z,2025-12-08T19:07:42.148620Z,True
2025-12-08,8474586.0,Jordan Eberle,SEA,SOG,2.5,130,-168,draftkings,2025-12-08T19:07:42.064567Z,2025-12-08T19:07:42.148620Z,True
2025-12-08,8474586.0,Jordan Eberle,SEA,SOG,2.5,136,-182,fanduel,2025-12-08T19:07:42.064567Z,2025-12-08T19:07:42.148620Z,True
2025-12-08,8474586.0,Jordan Eberle,SEA,SOG,2.5,132,-177,pinnacle,2025-12-08T19:07:42.064567Z,2025-12-08T19:07:42.148620Z,True
2025-12-08,8475149.0,Marcus Johansson,MIN,ASSISTS,0.5,195,-265,draftkings,2025-12-08T19:07:42.064567Z,2025-12-08T19:07:42.148620Z,True
2025-12-08,8475149.0,Marcus Johansson,MIN,ASSISTS,0.5,201,-281,pinnacle,2025-12-08T19:07:42.064567Z,2025-12-08T19:07:42.148620Z,True
2025-12-08,8475149.0,Marcus Johansson,MIN,POINTS,0.5,120,-154,draftkings,2025-12-08T19:07:42.064567Z,2025-12-08T19:07:42.148620Z,True
2025-12-08,8475149.0,Marcus Johansson,MIN,POINTS,0.5,124,-166,pinnacle,2025-12-08T19:07:42.064567Z,2025-12-08T19:07:42.148620Z,True
2025-12-08,8475149.0,Marcus Johansson,MIN,SOG,1.5,100,-130,draftkings,2025-12-08T19:07:42.064567Z,2025-12-08T19:07:42.148620Z,True
