date,player_id,player_name,team,market,line,over_price,under_price,book,first_seen_at,last_seen_at,is_current
2025-11-14,8471215,Evgeni Malkin,PIT,ASSISTS,0.5,-125,-105,draftkings,2025-11-14T14:48:16.254426Z,2025-11-14T14:48:16.311409Z,True
2025-11-14,8471215,Evgeni Malkin,PIT,ASSISTS,0.5,-126,-105,pinnacle,2025-11-14T14:48:16.254426Z,2025-11-14T14:48:16.311409Z,True
2025-11-14,8471215,Evgeni Malkin,PIT,GOALS,0.5,230,-330,fanduel,2025-11-14T14:48:16.254426Z,2025-11-14T14:48:16.311409Z,True
2025-11-14,8471215,Evgeni Malkin,PIT,POINTS,0.5,-225,170,draftkings,2025-11-14T14:48:16.254426Z,2025-11-14T14:48:16.311409Z,True
2025-11-14,8471215,Evgeni Malkin,PIT,POINTS,0.5,-234,170,pinnacle,2025-11-14T14:48:16.254426Z,2025-11-14T14:48:16.311409Z,True
2025-11-14,8471215,Evgeni Malkin,PIT,SOG,2.5,145,-188,draftkings,2025-11-14T14:48:16.254426Z,2025-11-14T14:48:16.311409Z,True
2025-11-14,8471215,Evgeni Malkin,PIT,SOG,2.5,140,-184,fanduel,2025-11-14T14:48:16.254426Z,2025-11-14T14:48:16.311409Z,True
2025-11-14,8471215,Evgeni Malkin,PIT,SOG,2.5,148,-199,pinnacle,2025-11-14T14:48:16.254426Z,2025-11-14T14:48:16.311409Z,True
2025-11-14,8471675,Sidney Crosby,PIT,ASSISTS,0.5,-115,-115,draftkings,2025-11-14T14:48:16.254426Z,2025-11-14T14:48:16.311409Z,True
2025-11-14,8471675,Sidney Crosby,PIT,ASSISTS,0.5,-116,-114,pinnacle,2025-11-14T14:48:16.254426Z,2025-11-14T14:48:16.311409Z,True
2025-11-14,8471675,Sidney Crosby,PIT,GOALS,0.5,165,-230,fanduel,2025-11-14T14:48:16.254426Z,2025-11-14T14:48:16.311409Z,True
2025-11-14,8471675,Sidney Crosby,PIT,POINTS,0.5,-248,185,draftkings,2025-11-14T14:48:16.254426Z,2025-11-14T14:48:16.311409Z,True
2025-11-14,8471675,Sidney Crosby,PIT,POINTS,0.5,-263,190,pinnacle,2025-11-14T14:48:16.254426Z,2025-11-14T14:48:16.311409Z,True
2025-11-14,8471675,Sidney Crosby,PIT,SOG,2.5,-110,-120,draftkings,2025-11-14T14:48:16.254426Z,2025-11-14T14:48:16.311409Z,True
2025-11-14,8471675,Sidney Crosby,PIT,SOG,2.5,-106,-122,fanduel,2025-11-14T14:48:16.254426Z,2025-11-14T14:48:16.311409Z,True
2025-11-14,8471675,Sidney Crosby,PIT,SOG,2.5,-110,-120,pinnacle,2025-11-14T14:48:16.254426Z,2025-11-14T14:48:16.311409Z,True
2025-11-14,8471724,Kris Letang,PIT,ASSISTS,0.5,195,-265,draftkings,2025-11-14T14:48:16.254426Z,2025-11-14T14:48:16.311409Z,True
2025-11-14,8471724,Kris Letang,PIT,ASSISTS,0.5,208,-293,pinnacle,2025-11-14T14:48:16.254426Z,2025-11-14T14:48:16.311409Z,True
